Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-10-03T21:31:40.889000Z,2024-10-03T21:36:06.879000Z,2024-10-04T00:49:39.808000Z,2024-10-03T21:36:11.834294Z,266,C7MPIYMZ,7,English,19,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-10-03T21:31:40.766000Z,2024-10-03T21:34:09.764000Z,2024-10-04T00:49:40.144000Z,2024-10-03T21:34:12.203869Z,149,C7MPIYMZ,295,English,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:31:44.775000Z,2024-10-03T21:33:52.334000Z,2024-10-04T00:49:40.453000Z,2024-10-03T21:33:53.054524Z,128,C7MPIYMZ,3460,English,75,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2024-10-03T21:31:51.482000Z,2024-10-03T21:33:16.935000Z,2024-10-04T00:49:40.755000Z,2024-10-03T21:33:17.588714Z,86,C7MPIYMZ,875,English,78,Male,White,United Kingdom,Australia,Australia,English,No,Part-Time
APPROVED,Not Applicable,2024-10-03T21:32:04.515000Z,2024-10-03T21:34:26.772000Z,2024-10-04T00:49:41.079000Z,2024-10-03T21:34:27.463232Z,143,C7MPIYMZ,1264,English,28,Male,Mixed,United States,United States,United States,Spanish,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-10-03T21:31:57.060000Z,2024-10-03T21:33:55.838000Z,2024-10-04T00:49:41.389000Z,2024-10-03T21:33:56.690898Z,119,C7MPIYMZ,419,"English, Polish",23,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-10-03T21:31:59.530000Z,2024-10-03T21:34:01.768000Z,2024-10-04T00:49:41.693000Z,2024-10-03T21:34:10.819500Z,123,C7MPIYMZ,1118,English,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:35:38.350000Z,2024-10-03T21:41:34.501000Z,2024-10-04T00:49:41.988000Z,2024-10-03T21:42:42.885302Z,357,C7MPIYMZ,14,English,27,Male,White,South Africa,South Africa,South Africa,English,No,Other
APPROVED,Not Applicable,2024-10-03T21:32:05.386000Z,2024-10-03T21:33:32.166000Z,2024-10-04T00:49:42.285000Z,2024-10-03T21:33:33.093294Z,87,C7MPIYMZ,2138,English,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:32:14.312000Z,2024-10-03T21:37:59.351000Z,2024-10-04T00:49:42.580000Z,2024-10-03T21:38:00.275462Z,346,C7MPIYMZ,829,English,30,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:32:07.471000Z,2024-10-03T21:36:22.515000Z,2024-10-04T00:49:42.888000Z,2024-10-03T21:36:23.070261Z,256,C7MPIYMZ,2722,English,30,Male,White,Mexico,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-10-03T21:32:09.239000Z,2024-10-03T21:34:49.794000Z,2024-10-04T00:49:43.168000Z,2024-10-03T21:34:50.637808Z,161,C7MPIYMZ,282,English,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2024-10-03T21:32:10.452000Z,2024-10-03T21:34:04.509000Z,2024-10-04T00:49:43.432000Z,2024-10-03T21:34:12.060128Z,115,C7MPIYMZ,183,English,22,Male,White,Canada,Canada,Canada,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-10-03T21:32:12.282000Z,2024-10-03T21:36:26.380000Z,2024-10-04T00:49:43.784000Z,2024-10-03T21:36:27.310638Z,255,C7MPIYMZ,1224,"Portuguese, English",37,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:32:16.678000Z,2024-10-03T21:34:13.702000Z,2024-10-04T00:49:44.078000Z,2024-10-03T21:34:14.562697Z,118,C7MPIYMZ,2202,English,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2024-10-03T21:33:08.306000Z,2024-10-03T21:37:17.768000Z,2024-10-04T00:49:44.401000Z,2024-10-03T21:37:18.603792Z,250,C7MPIYMZ,11,English,23,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
APPROVED,Not Applicable,2024-10-03T21:32:17.035000Z,2024-10-03T21:37:07.259000Z,2024-10-04T00:49:44.690000Z,2024-10-03T21:37:39.418779Z,291,C7MPIYMZ,539,"Polish, English",24,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:32:26.583000Z,2024-10-03T21:36:08.400000Z,2024-10-04T00:49:44.995000Z,2024-10-03T21:36:12.221666Z,222,C7MPIYMZ,3,English,73,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:39:55.645000Z,2024-10-03T21:42:39.244000Z,2024-10-04T00:49:45.916000Z,2024-10-03T21:43:11.709344Z,164,C7MPIYMZ,637,English,35,Male,Black,Nigeria,United Kingdom,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-10-03T21:32:38.135000Z,2024-10-03T21:34:40.670000Z,2024-10-04T00:49:46.265000Z,2024-10-03T21:34:41.483498Z,123,C7MPIYMZ,5,English,28,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:32:40.978000Z,2024-10-03T21:36:44.114000Z,2024-10-04T00:49:46.598000Z,2024-10-03T21:36:44.844031Z,244,C7MPIYMZ,55,English,31,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-10-03T21:32:49.820000Z,2024-10-03T21:34:43.186000Z,2024-10-04T00:49:46.919000Z,2024-10-03T21:34:44.311666Z,114,C7MPIYMZ,294,"Polish, English",35,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:32:52.507000Z,2024-10-03T21:34:31.233000Z,2024-10-04T00:49:47.195000Z,2024-10-03T21:34:32.131992Z,99,C7MPIYMZ,8,English,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:32:57.599000Z,2024-10-03T21:37:10.062000Z,2024-10-04T00:49:47.501000Z,2024-10-03T21:37:14.295833Z,253,C7MPIYMZ,78,English,21,Male,Other,Mexico,Mexico,Mexico,Spanish,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-10-03T21:32:56.501000Z,2024-10-03T21:35:10.462000Z,2024-10-04T00:49:47.782000Z,2024-10-03T21:35:11.633316Z,134,C7MPIYMZ,357,English,44,Male,White,Australia,Australia,Australia,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:32:59.388000Z,2024-10-03T21:37:20.841000Z,2024-10-04T00:49:48.160000Z,2024-10-03T21:37:22.138263Z,262,C7MPIYMZ,145,English,34,Male,White,Canada,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:33:04.485000Z,2024-10-03T21:36:06.576000Z,2024-10-04T00:49:48.454000Z,2024-10-03T21:36:11.585240Z,183,C7MPIYMZ,2091,English,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2024-10-03T21:33:12.962000Z,2024-10-03T21:34:55.518000Z,2024-10-04T00:49:48.749000Z,2024-10-03T21:34:56.379691Z,103,C7MPIYMZ,12,English,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
APPROVED,Not Applicable,2024-10-03T21:33:15.357000Z,2024-10-03T21:34:43.422000Z,2024-10-04T00:49:49.040000Z,2024-10-03T21:34:44.148440Z,89,C7MPIYMZ,117,English,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2024-10-03T21:33:13.363000Z,2024-10-03T21:34:36.912000Z,2024-10-04T00:29:59.423000Z,2024-10-03T21:34:37.696181Z,84,C7MPIYMZ,473,English,25,Female,White,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:33:11.644000Z,2024-10-03T21:35:18.951000Z,2024-10-04T00:49:49.322000Z,2024-10-03T21:35:19.611774Z,128,C7MPIYMZ,46,English,35,Male,White,Canada,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:33:17.038000Z,2024-10-03T21:34:03.603000Z,2024-10-04T00:49:49.673000Z,2024-10-03T21:34:11.377161Z,47,C7MPIYMZ,8,English,27,Male,Mixed,Chile,Chile,Chile,Spanish,No,Other
APPROVED,Not Applicable,2024-10-03T21:33:13.453000Z,2024-10-03T21:36:40.302000Z,2024-10-04T00:49:50.046000Z,2024-10-03T21:36:41.255571Z,207,C7MPIYMZ,43,"German, Russian, English",32,Male,White,Kazakhstan,Germany,Germany,Russian,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:35:09.164000Z,2024-10-03T21:38:07.311000Z,2024-10-04T00:49:50.383000Z,2024-10-03T21:38:11.112656Z,179,C7MPIYMZ,5,English,31,Male,Black,Nigeria,Canada,Nigeria,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:33:42.229000Z,2024-10-03T21:35:56.603000Z,2024-10-04T00:49:50.679000Z,2024-10-03T21:35:57.181859Z,135,C7MPIYMZ,436,English,39,Male,Asian,Canada,Canada,Canada,English,DATA_EXPIRED,Full-Time
APPROVED,Not Applicable,2024-10-03T21:34:08.305000Z,2024-10-03T21:36:16.341000Z,2024-10-04T00:49:51.057000Z,2024-10-03T21:36:17.020179Z,129,C7MPIYMZ,431,"English, Spanish",41,Male,Other,Nicaragua,United States,United States,Spanish,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-10-03T21:33:54.962000Z,2024-10-03T21:35:20.514000Z,2024-10-04T00:49:51.394000Z,2024-10-03T21:35:21.317257Z,86,C7MPIYMZ,822,English,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:33:57.589000Z,2024-10-03T21:35:52.114000Z,2024-10-04T00:49:51.733000Z,2024-10-03T21:35:52.744775Z,115,C7MPIYMZ,1106,"Armenian, English, French",36,Male,White,Canada,Canada,Canada,Armenian,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:33:58.539000Z,2024-10-03T21:35:59.277000Z,2024-10-04T00:49:52.009000Z,2024-10-03T21:36:00.010681Z,121,C7MPIYMZ,1735,English,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2024-10-03T21:34:13.856000Z,2024-10-03T21:37:09.796000Z,2024-10-04T00:49:52.293000Z,2024-10-03T21:37:14.285925Z,176,C7MPIYMZ,286,English,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-10-03T21:34:13.388000Z,2024-10-03T21:35:39.868000Z,2024-10-04T00:49:52.560000Z,2024-10-03T21:35:40.580242Z,87,C7MPIYMZ,2326,English,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-10-03T21:34:25.497000Z,2024-10-03T21:35:50.383000Z,2024-10-04T00:49:52.835000Z,2024-10-03T21:35:51.072395Z,85,C7MPIYMZ,1499,English,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-10-03T21:34:23.757000Z,2024-10-03T21:35:36.572000Z,2024-10-04T00:49:53.147000Z,2024-10-03T21:35:37.372247Z,73,C7MPIYMZ,87,English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:34:26.736000Z,2024-10-03T21:35:47.591000Z,2024-10-04T00:49:53.438000Z,2024-10-03T21:35:48.777349Z,81,C7MPIYMZ,516,English,41,Male,White,United Kingdom,United Kingdom,Ireland,English,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-10-03T21:34:27.293000Z,2024-10-03T21:36:41.135000Z,2024-10-04T00:49:53.791000Z,2024-10-03T21:36:41.851992Z,134,C7MPIYMZ,329,"Dutch, English",26,Male,White,Netherlands,Netherlands,Netherlands,Dutch,DATA_EXPIRED,DATA_EXPIRED
