StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consent,pid,id,com.1,com.2,1_x.2_s,1_v.2_s,1_p.2_s,1_i.2_s,1_u.2_s,1_a.2_s,2_x.2_s,2_v.2_s,2_p.2_s,2_i.2_s,2_u.2_s,2_a.2_s,3_x.2_s,3_v.2_s,3_p.2_s,3_i.2_s,3_u.2_s,3_a.2_s,1_x.3_s,1_v.3_s,1_p.3_s,1_i.3_s,1_u.3_s,1_a.3_s,2_x.3_s,2_v.3_s,2_p.3_s,2_i.3_s,2_u.3_s,2_a.3_s,3_x.3_s,3_v.3_s,3_p.3_s,3_i.3_s,3_u.3_s,3_a.3_s,1_x.2_m,1_v.2_m,1_p.2_m,1_i.2_m,1_u.2_m,1_a.2_m,2_x.2_m,2_v.2_m,2_p.2_m,2_i.2_m,2_u.2_m,2_a.2_m,3_x.2_m,3_v.2_m,3_p.2_m,3_i.2_m,3_u.2_m,3_a.2_m,1_x.3_m,1_v.3_m,1_p.3_m,1_i.3_m,1_u.3_m,1_a.3_m,2_x.3_m,2_v.3_m,2_p.3_m,2_i.3_m,2_u.3_m,2_a.3_m,3_x.3_m,3_v.3_m,3_p.3_m,3_i.3_m,3_u.3_m,3_a.3_m,1_x.2_f,1_v.2_f,1_p.2_f,1_i.2_f,1_u.2_f,1_a.2_f,2_x.2_f,2_v.2_f,2_p.2_f,2_i.2_f,2_u.2_f,2_a.2_f,3_x.2_f,3_v.2_f,3_p.2_f,3_i.2_f,3_u.2_f,3_a.2_f,1_x.3_f,1_v.3_f,1_p.3_f,1_i.3_f,1_u.3_f,1_a.3_f,2_x.3_f,2_v.3_f,2_p.3_f,2_i.3_f,2_u.3_f,2_a.3_f,3_x.3_f,3_v.3_f,3_p.3_f,3_i.3_f,3_u.3_f,3_a.3_f,1_x.2_b,1_v.2_b,1_p.2_b,1_i.2_b,1_u.2_b,1_a.2_b,2_x.2_b,2_v.2_b,2_p.2_b,2_i.2_b,2_u.2_b,2_a.2_b,3_x.2_b,3_v.2_b,3_p.2_b,3_i.2_b,3_u.2_b,3_a.2_b,9_x.3_b,9_v.3_b,9_p.3_b,9_i.3_b,9_u.3_b,9_a.3_b,10_x.3_b,10_v.3_b,10_p.3_b,10_i.3_b,10_u.3_b,10_a.3_b,11_x.3_b,11_v.3_b,11_p.3_b,11_i.3_b,11_u.3_b,11_a.3_b,FL_21_DO,FL_4_DO,FL_18_DO,FL_19_DO,FL_20_DO,insightfulvienna_DO,uninsightfulvienna_DO,insightfulblockbuster_DO,uninsightfulblockbuster_DO,insightfulmerrick_DO,uninsightfulmerrick_DO,insightfulbike_DO,uninsightfulbike_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Do you consent to participate in this research?,,Please enter your unique prolific ID below,How much insight did that lesson give you?,How much insight did that lesson give you?,"learning material can great impact what value you get out of it, it can be extremely useful or not useful at all - Please select the middle option.","learning material can great impact what value you get out of it, it can be extremely useful or not useful at all - How valuable is this lesson to you?","learning material can great impact what value you get out of it, it can be extremely useful or not useful at all - How much does this lesson change your perspective?","learning material can great impact what value you get out of it, it can be extremely useful or not useful at all - How much insight does this lesson give you?","learning material can great impact what value you get out of it, it can be extremely useful or not useful at all - How useful is this lesson to you?","learning material can great impact what value you get out of it, it can be extremely useful or not useful at all - How much can you use this lesson in the future?",A hospital had a large number of newborn deaths than the other. A doctor investigated and discovered that death toll is increasing because doctors are not washing their hands before helping patients. He told the other doctors but they didn't take it into consideration. The death toll kept increasing for decades and they realised that the doctor who was investigating was right. - Please select the middle option.,A hospital had a large number of newborn deaths than the other. A doctor investigated and discovered that death toll is increasing because doctors are not washing their hands before helping patients. He told the other doctors but they didn't take it into consideration. The death toll kept increasing for decades and they realised that the doctor who was investigating was right. - How valuable is this lesson to you?,A hospital had a large number of newborn deaths than the other. A doctor investigated and discovered that death toll is increasing because doctors are not washing their hands before helping patients. He told the other doctors but they didn't take it into consideration. The death toll kept increasing for decades and they realised that the doctor who was investigating was right. - How much does this lesson change your perspective?,A hospital had a large number of newborn deaths than the other. A doctor investigated and discovered that death toll is increasing because doctors are not washing their hands before helping patients. He told the other doctors but they didn't take it into consideration. The death toll kept increasing for decades and they realised that the doctor who was investigating was right. - How much insight does this lesson give you?,A hospital had a large number of newborn deaths than the other. A doctor investigated and discovered that death toll is increasing because doctors are not washing their hands before helping patients. He told the other doctors but they didn't take it into consideration. The death toll kept increasing for decades and they realised that the doctor who was investigating was right. - How useful is this lesson to you?,A hospital had a large number of newborn deaths than the other. A doctor investigated and discovered that death toll is increasing because doctors are not washing their hands before helping patients. He told the other doctors but they didn't take it into consideration. The death toll kept increasing for decades and they realised that the doctor who was investigating was right. - How much can you use this lesson in the future?,"I have learned that when you have theory about something, always make sure you have an immediate evidence that supports your theory because people are more inclined to seeing proof in order to believe some information. - Please select the middle option.","I have learned that when you have theory about something, always make sure you have an immediate evidence that supports your theory because people are more inclined to seeing proof in order to believe some information. - How valuable is this lesson to you?","I have learned that when you have theory about something, always make sure you have an immediate evidence that supports your theory because people are more inclined to seeing proof in order to believe some information. - How much does this lesson change your perspective?","I have learned that when you have theory about something, always make sure you have an immediate evidence that supports your theory because people are more inclined to seeing proof in order to believe some information. - How much insight does this lesson give you?","I have learned that when you have theory about something, always make sure you have an immediate evidence that supports your theory because people are more inclined to seeing proof in order to believe some information. - How useful is this lesson to you?","I have learned that when you have theory about something, always make sure you have an immediate evidence that supports your theory because people are more inclined to seeing proof in order to believe some information. - How much can you use this lesson in the future?",doctors didn't use to wash their hands. - Please select the middle option.,doctors didn't use to wash their hands. - How valuable is this lesson to you?,doctors didn't use to wash their hands. - How much does this lesson change your perspective?,doctors didn't use to wash their hands. - How much insight does this lesson give you?,doctors didn't use to wash their hands. - How useful is this lesson to you?,doctors didn't use to wash their hands. - How much can you use this lesson in the future?,I learned that womenâ€™s health and safety has never been important and never will be as we revert back in recent years.  - Please select the middle option.,I learned that womenâ€™s health and safety has never been important and never will be as we revert back in recent years.  - How valuable is this lesson to you?,I learned that womenâ€™s health and safety has never been important and never will be as we revert back in recent years.  - How much does this lesson change your perspective?,I learned that womenâ€™s health and safety has never been important and never will be as we revert back in recent years.  - How much insight does this lesson give you?,I learned that womenâ€™s health and safety has never been important and never will be as we revert back in recent years.  - How useful is this lesson to you?,I learned that womenâ€™s health and safety has never been important and never will be as we revert back in recent years.  - How much can you use this lesson in the future?,Washing hands can make a significant difference in hospital care - Please select the middle option.,Washing hands can make a significant difference in hospital care - How valuable is this lesson to you?,Washing hands can make a significant difference in hospital care - How much does this lesson change your perspective?,Washing hands can make a significant difference in hospital care - How much insight does this lesson give you?,Washing hands can make a significant difference in hospital care - How useful is this lesson to you?,Washing hands can make a significant difference in hospital care - How much can you use this lesson in the future?,I ha learned that innovation and adaptability are very crucial for success in business and in life. - Please select the middle option.,I ha learned that innovation and adaptability are very crucial for success in business and in life. - How valuable is this lesson to you?,I ha learned that innovation and adaptability are very crucial for success in business and in life. - How much does this lesson change your perspective?,I ha learned that innovation and adaptability are very crucial for success in business and in life. - How much insight does this lesson give you?,I ha learned that innovation and adaptability are very crucial for success in business and in life. - How useful is this lesson to you?,I ha learned that innovation and adaptability are very crucial for success in business and in life. - How much can you use this lesson in the future?,I learned that keeping up with trends is vital in building long lasting businesses. The cases study is based on real life experiences that are perfect examples that depict the information provided in the learning material. I find that studying makes more sense when case studies are used to better understand how things actually works in the real world. - Please select the middle option.,I learned that keeping up with trends is vital in building long lasting businesses. The cases study is based on real life experiences that are perfect examples that depict the information provided in the learning material. I find that studying makes more sense when case studies are used to better understand how things actually works in the real world. - How valuable is this lesson to you?,I learned that keeping up with trends is vital in building long lasting businesses. The cases study is based on real life experiences that are perfect examples that depict the information provided in the learning material. I find that studying makes more sense when case studies are used to better understand how things actually works in the real world. - How much does this lesson change your perspective?,I learned that keeping up with trends is vital in building long lasting businesses. The cases study is based on real life experiences that are perfect examples that depict the information provided in the learning material. I find that studying makes more sense when case studies are used to better understand how things actually works in the real world. - How much insight does this lesson give you?,I learned that keeping up with trends is vital in building long lasting businesses. The cases study is based on real life experiences that are perfect examples that depict the information provided in the learning material. I find that studying makes more sense when case studies are used to better understand how things actually works in the real world. - How useful is this lesson to you?,I learned that keeping up with trends is vital in building long lasting businesses. The cases study is based on real life experiences that are perfect examples that depict the information provided in the learning material. I find that studying makes more sense when case studies are used to better understand how things actually works in the real world. - How much can you use this lesson in the future?,The leson learnd is the one should always be willing to take risk for the further is unknown.  - Please select the middle option.,The leson learnd is the one should always be willing to take risk for the further is unknown.  - How valuable is this lesson to you?,The leson learnd is the one should always be willing to take risk for the further is unknown.  - How much does this lesson change your perspective?,The leson learnd is the one should always be willing to take risk for the further is unknown.  - How much insight does this lesson give you?,The leson learnd is the one should always be willing to take risk for the further is unknown.  - How useful is this lesson to you?,The leson learnd is the one should always be willing to take risk for the further is unknown.  - How much can you use this lesson in the future?,I learned that to make a valuable lesson the best thing you can do is to provide an example which really had place. This example should approve your thesis which makes you think that lesson giver is talking about reality not some fiction in a book. - Please select the middle option.,I learned that to make a valuable lesson the best thing you can do is to provide an example which really had place. This example should approve your thesis which makes you think that lesson giver is talking about reality not some fiction in a book. - How valuable is this lesson to you?,I learned that to make a valuable lesson the best thing you can do is to provide an example which really had place. This example should approve your thesis which makes you think that lesson giver is talking about reality not some fiction in a book. - How much does this lesson change your perspective?,I learned that to make a valuable lesson the best thing you can do is to provide an example which really had place. This example should approve your thesis which makes you think that lesson giver is talking about reality not some fiction in a book. - How much insight does this lesson give you?,I learned that to make a valuable lesson the best thing you can do is to provide an example which really had place. This example should approve your thesis which makes you think that lesson giver is talking about reality not some fiction in a book. - How useful is this lesson to you?,I learned that to make a valuable lesson the best thing you can do is to provide an example which really had place. This example should approve your thesis which makes you think that lesson giver is talking about reality not some fiction in a book. - How much can you use this lesson in the future?,blockbuster failed to understand how subscription services will be in demand at that point in time and they missed an opportunity to own one of the best leading subscription services in the world which resulted in a huge loss in profits - Please select the middle option.,blockbuster failed to understand how subscription services will be in demand at that point in time and they missed an opportunity to own one of the best leading subscription services in the world which resulted in a huge loss in profits - How valuable is this lesson to you?,blockbuster failed to understand how subscription services will be in demand at that point in time and they missed an opportunity to own one of the best leading subscription services in the world which resulted in a huge loss in profits - How much does this lesson change your perspective?,blockbuster failed to understand how subscription services will be in demand at that point in time and they missed an opportunity to own one of the best leading subscription services in the world which resulted in a huge loss in profits - How much insight does this lesson give you?,blockbuster failed to understand how subscription services will be in demand at that point in time and they missed an opportunity to own one of the best leading subscription services in the world which resulted in a huge loss in profits - How useful is this lesson to you?,blockbuster failed to understand how subscription services will be in demand at that point in time and they missed an opportunity to own one of the best leading subscription services in the world which resulted in a huge loss in profits - How much can you use this lesson in the future?,"To always keep in mind that the future isn't certain, and that even if things are currently working, change could be around the corner which could change everything - Please select the middle option.","To always keep in mind that the future isn't certain, and that even if things are currently working, change could be around the corner which could change everything - How valuable is this lesson to you?","To always keep in mind that the future isn't certain, and that even if things are currently working, change could be around the corner which could change everything - How much does this lesson change your perspective?","To always keep in mind that the future isn't certain, and that even if things are currently working, change could be around the corner which could change everything - How much insight does this lesson give you?","To always keep in mind that the future isn't certain, and that even if things are currently working, change could be around the corner which could change everything - How useful is this lesson to you?","To always keep in mind that the future isn't certain, and that even if things are currently working, change could be around the corner which could change everything - How much can you use this lesson in the future?",I have learned that it is important to know what to write in order to entice customers. - Please select the middle option.,I have learned that it is important to know what to write in order to entice customers. - How valuable is this lesson to you?,I have learned that it is important to know what to write in order to entice customers. - How much does this lesson change your perspective?,I have learned that it is important to know what to write in order to entice customers. - How much insight does this lesson give you?,I have learned that it is important to know what to write in order to entice customers. - How useful is this lesson to you?,I have learned that it is important to know what to write in order to entice customers. - How much can you use this lesson in the future?,I learned that it important to examine a product thoroughly before using it. Always read the information on the package and use that to determine if it is relevant to you or not. - Please select the middle option.,I learned that it important to examine a product thoroughly before using it. Always read the information on the package and use that to determine if it is relevant to you or not. - How valuable is this lesson to you?,I learned that it important to examine a product thoroughly before using it. Always read the information on the package and use that to determine if it is relevant to you or not. - How much does this lesson change your perspective?,I learned that it important to examine a product thoroughly before using it. Always read the information on the package and use that to determine if it is relevant to you or not. - How much insight does this lesson give you?,I learned that it important to examine a product thoroughly before using it. Always read the information on the package and use that to determine if it is relevant to you or not. - How useful is this lesson to you?,I learned that it important to examine a product thoroughly before using it. Always read the information on the package and use that to determine if it is relevant to you or not. - How much can you use this lesson in the future?,A better way of doing it  - Please select the middle option.,A better way of doing it  - How valuable is this lesson to you?,A better way of doing it  - How much does this lesson change your perspective?,A better way of doing it  - How much insight does this lesson give you?,A better way of doing it  - How useful is this lesson to you?,A better way of doing it  - How much can you use this lesson in the future?,"I learned that doing some research on what people want can help you create something that appeals more to people, even if it's as simple as changing a few words in a product description. It's low effort for a high reward. - Please select the middle option.","I learned that doing some research on what people want can help you create something that appeals more to people, even if it's as simple as changing a few words in a product description. It's low effort for a high reward. - How valuable is this lesson to you?","I learned that doing some research on what people want can help you create something that appeals more to people, even if it's as simple as changing a few words in a product description. It's low effort for a high reward. - How much does this lesson change your perspective?","I learned that doing some research on what people want can help you create something that appeals more to people, even if it's as simple as changing a few words in a product description. It's low effort for a high reward. - How much insight does this lesson give you?","I learned that doing some research on what people want can help you create something that appeals more to people, even if it's as simple as changing a few words in a product description. It's low effort for a high reward. - How useful is this lesson to you?","I learned that doing some research on what people want can help you create something that appeals more to people, even if it's as simple as changing a few words in a product description. It's low effort for a high reward. - How much can you use this lesson in the future?",It was a good explanation on how a subtle difference in the description of a product can lead to success or failure - Please select the middle option.,It was a good explanation on how a subtle difference in the description of a product can lead to success or failure - How valuable is this lesson to you?,It was a good explanation on how a subtle difference in the description of a product can lead to success or failure - How much does this lesson change your perspective?,It was a good explanation on how a subtle difference in the description of a product can lead to success or failure - How much insight does this lesson give you?,It was a good explanation on how a subtle difference in the description of a product can lead to success or failure - How useful is this lesson to you?,It was a good explanation on how a subtle difference in the description of a product can lead to success or failure - How much can you use this lesson in the future?,I learned that it is important to be clear and to anticipate customer's ideas - Please select the middle option.,I learned that it is important to be clear and to anticipate customer's ideas - How valuable is this lesson to you?,I learned that it is important to be clear and to anticipate customer's ideas - How much does this lesson change your perspective?,I learned that it is important to be clear and to anticipate customer's ideas - How much insight does this lesson give you?,I learned that it is important to be clear and to anticipate customer's ideas - How useful is this lesson to you?,I learned that it is important to be clear and to anticipate customer's ideas - How much can you use this lesson in the future?,I have learnt  that anything  that is fragile  and needs to be transported  has to be marked fragile  so that it is easy for transporters to know what they are dealing with - Please select the middle option.,I have learnt  that anything  that is fragile  and needs to be transported  has to be marked fragile  so that it is easy for transporters to know what they are dealing with - How valuable is this lesson to you?,I have learnt  that anything  that is fragile  and needs to be transported  has to be marked fragile  so that it is easy for transporters to know what they are dealing with - How much does this lesson change your perspective?,I have learnt  that anything  that is fragile  and needs to be transported  has to be marked fragile  so that it is easy for transporters to know what they are dealing with - How much insight does this lesson give you?,I have learnt  that anything  that is fragile  and needs to be transported  has to be marked fragile  so that it is easy for transporters to know what they are dealing with - How useful is this lesson to you?,I have learnt  that anything  that is fragile  and needs to be transported  has to be marked fragile  so that it is easy for transporters to know what they are dealing with - How much can you use this lesson in the future?,I have learnt that insight is very useful and great deal while choosing something. - Please select the middle option.,I have learnt that insight is very useful and great deal while choosing something. - How valuable is this lesson to you?,I have learnt that insight is very useful and great deal while choosing something. - How much does this lesson change your perspective?,I have learnt that insight is very useful and great deal while choosing something. - How much insight does this lesson give you?,I have learnt that insight is very useful and great deal while choosing something. - How useful is this lesson to you?,I have learnt that insight is very useful and great deal while choosing something. - How much can you use this lesson in the future?,to prevent damage give the handler the idea that what is being shipped is fragile cargo - Please select the middle option.,to prevent damage give the handler the idea that what is being shipped is fragile cargo - How valuable is this lesson to you?,to prevent damage give the handler the idea that what is being shipped is fragile cargo - How much does this lesson change your perspective?,to prevent damage give the handler the idea that what is being shipped is fragile cargo - How much insight does this lesson give you?,to prevent damage give the handler the idea that what is being shipped is fragile cargo - How useful is this lesson to you?,to prevent damage give the handler the idea that what is being shipped is fragile cargo - How much can you use this lesson in the future?,"Itâ€™s more useful and great to teach using examples that make you change your perception, in this case I learn a way to reduce shipping damage using simples alternatives  - Please select the middle option.","Itâ€™s more useful and great to teach using examples that make you change your perception, in this case I learn a way to reduce shipping damage using simples alternatives  - How valuable is this lesson to you?","Itâ€™s more useful and great to teach using examples that make you change your perception, in this case I learn a way to reduce shipping damage using simples alternatives  - How much does this lesson change your perspective?","Itâ€™s more useful and great to teach using examples that make you change your perception, in this case I learn a way to reduce shipping damage using simples alternatives  - How much insight does this lesson give you?","Itâ€™s more useful and great to teach using examples that make you change your perception, in this case I learn a way to reduce shipping damage using simples alternatives  - How useful is this lesson to you?","Itâ€™s more useful and great to teach using examples that make you change your perception, in this case I learn a way to reduce shipping damage using simples alternatives  - How much can you use this lesson in the future?","Most that I pulled out of this excerpt is that shipping companies don't care about their cargo unless they have an indication of high value, which can cause higher losses in the long run if they break something that seemingly isn't fragile but is worth a significant amount of money - Please select the middle option.","Most that I pulled out of this excerpt is that shipping companies don't care about their cargo unless they have an indication of high value, which can cause higher losses in the long run if they break something that seemingly isn't fragile but is worth a significant amount of money - How valuable is this lesson to you?","Most that I pulled out of this excerpt is that shipping companies don't care about their cargo unless they have an indication of high value, which can cause higher losses in the long run if they break something that seemingly isn't fragile but is worth a significant amount of money - How much does this lesson change your perspective?","Most that I pulled out of this excerpt is that shipping companies don't care about their cargo unless they have an indication of high value, which can cause higher losses in the long run if they break something that seemingly isn't fragile but is worth a significant amount of money - How much insight does this lesson give you?","Most that I pulled out of this excerpt is that shipping companies don't care about their cargo unless they have an indication of high value, which can cause higher losses in the long run if they break something that seemingly isn't fragile but is worth a significant amount of money - How useful is this lesson to you?","Most that I pulled out of this excerpt is that shipping companies don't care about their cargo unless they have an indication of high value, which can cause higher losses in the long run if they break something that seemingly isn't fragile but is worth a significant amount of money - How much can you use this lesson in the future?",The suggestion to print TV screens on boxes to prevent shipping damage is impractical for large items like bicycles and raises ethical concerns about deceivingÂ customers - Please select the middle option.,The suggestion to print TV screens on boxes to prevent shipping damage is impractical for large items like bicycles and raises ethical concerns about deceivingÂ customers - How valuable is this lesson to you?,The suggestion to print TV screens on boxes to prevent shipping damage is impractical for large items like bicycles and raises ethical concerns about deceivingÂ customers - How much does this lesson change your perspective?,The suggestion to print TV screens on boxes to prevent shipping damage is impractical for large items like bicycles and raises ethical concerns about deceivingÂ customers - How much insight does this lesson give you?,The suggestion to print TV screens on boxes to prevent shipping damage is impractical for large items like bicycles and raises ethical concerns about deceivingÂ customers - How useful is this lesson to you?,The suggestion to print TV screens on boxes to prevent shipping damage is impractical for large items like bicycles and raises ethical concerns about deceivingÂ customers - How much can you use this lesson in the future?,FL_21 - Block Randomizer - Display Order,FL_4 - Block Randomizer - Display Order,FL_18 - Block Randomizer - Display Order,FL_19 - Block Randomizer - Display Order,FL_20 - Block Randomizer - Display Order,insightful vienna - Display Order,uninsightful vienna - Display Order,insightful blockbuster - Display Order,uninsightful blockbuster - Display Order,insightful merrick - Display Order,uninsightful merrick - Display Order,insightful bike - Display Order,uninsightful bike - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1717457504""}",,"{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID1717912194""}","{""ImportId"":""QID1717912196""}","{""ImportId"":""1_QID218""}","{""ImportId"":""1_QID57""}","{""ImportId"":""1_QID58""}","{""ImportId"":""1_QID59""}","{""ImportId"":""1_QID60""}","{""ImportId"":""1_QID98""}","{""ImportId"":""2_QID218""}","{""ImportId"":""2_QID57""}","{""ImportId"":""2_QID58""}","{""ImportId"":""2_QID59""}","{""ImportId"":""2_QID60""}","{""ImportId"":""2_QID98""}","{""ImportId"":""3_QID218""}","{""ImportId"":""3_QID57""}","{""ImportId"":""3_QID58""}","{""ImportId"":""3_QID59""}","{""ImportId"":""3_QID60""}","{""ImportId"":""3_QID98""}","{""ImportId"":""1_QID244""}","{""ImportId"":""1_QID245""}","{""ImportId"":""1_QID246""}","{""ImportId"":""1_QID247""}","{""ImportId"":""1_QID248""}","{""ImportId"":""1_QID249""}","{""ImportId"":""2_QID244""}","{""ImportId"":""2_QID245""}","{""ImportId"":""2_QID246""}","{""ImportId"":""2_QID247""}","{""ImportId"":""2_QID248""}","{""ImportId"":""2_QID249""}","{""ImportId"":""3_QID244""}","{""ImportId"":""3_QID245""}","{""ImportId"":""3_QID246""}","{""ImportId"":""3_QID247""}","{""ImportId"":""3_QID248""}","{""ImportId"":""3_QID249""}","{""ImportId"":""1_QID276""}","{""ImportId"":""1_QID277""}","{""ImportId"":""1_QID278""}","{""ImportId"":""1_QID279""}","{""ImportId"":""1_QID280""}","{""ImportId"":""1_QID281""}","{""ImportId"":""2_QID276""}","{""ImportId"":""2_QID277""}","{""ImportId"":""2_QID278""}","{""ImportId"":""2_QID279""}","{""ImportId"":""2_QID280""}","{""ImportId"":""2_QID281""}","{""ImportId"":""3_QID276""}","{""ImportId"":""3_QID277""}","{""ImportId"":""3_QID278""}","{""ImportId"":""3_QID279""}","{""ImportId"":""3_QID280""}","{""ImportId"":""3_QID281""}","{""ImportId"":""1_QID268""}","{""ImportId"":""1_QID269""}","{""ImportId"":""1_QID270""}","{""ImportId"":""1_QID271""}","{""ImportId"":""1_QID272""}","{""ImportId"":""1_QID273""}","{""ImportId"":""2_QID268""}","{""ImportId"":""2_QID269""}","{""ImportId"":""2_QID270""}","{""ImportId"":""2_QID271""}","{""ImportId"":""2_QID272""}","{""ImportId"":""2_QID273""}","{""ImportId"":""3_QID268""}","{""ImportId"":""3_QID269""}","{""ImportId"":""3_QID270""}","{""ImportId"":""3_QID271""}","{""ImportId"":""3_QID272""}","{""ImportId"":""3_QID273""}","{""ImportId"":""1_QID222""}","{""ImportId"":""1_QID223""}","{""ImportId"":""1_QID224""}","{""ImportId"":""1_QID225""}","{""ImportId"":""1_QID226""}","{""ImportId"":""1_QID227""}","{""ImportId"":""2_QID222""}","{""ImportId"":""2_QID223""}","{""ImportId"":""2_QID224""}","{""ImportId"":""2_QID225""}","{""ImportId"":""2_QID226""}","{""ImportId"":""2_QID227""}","{""ImportId"":""3_QID222""}","{""ImportId"":""3_QID223""}","{""ImportId"":""3_QID224""}","{""ImportId"":""3_QID225""}","{""ImportId"":""3_QID226""}","{""ImportId"":""3_QID227""}","{""ImportId"":""1_QID252""}","{""ImportId"":""1_QID253""}","{""ImportId"":""1_QID254""}","{""ImportId"":""1_QID255""}","{""ImportId"":""1_QID256""}","{""ImportId"":""1_QID257""}","{""ImportId"":""2_QID252""}","{""ImportId"":""2_QID253""}","{""ImportId"":""2_QID254""}","{""ImportId"":""2_QID255""}","{""ImportId"":""2_QID256""}","{""ImportId"":""2_QID257""}","{""ImportId"":""3_QID252""}","{""ImportId"":""3_QID253""}","{""ImportId"":""3_QID254""}","{""ImportId"":""3_QID255""}","{""ImportId"":""3_QID256""}","{""ImportId"":""3_QID257""}","{""ImportId"":""1_QID292""}","{""ImportId"":""1_QID293""}","{""ImportId"":""1_QID294""}","{""ImportId"":""1_QID295""}","{""ImportId"":""1_QID296""}","{""ImportId"":""1_QID297""}","{""ImportId"":""2_QID292""}","{""ImportId"":""2_QID293""}","{""ImportId"":""2_QID294""}","{""ImportId"":""2_QID295""}","{""ImportId"":""2_QID296""}","{""ImportId"":""2_QID297""}","{""ImportId"":""3_QID292""}","{""ImportId"":""3_QID293""}","{""ImportId"":""3_QID294""}","{""ImportId"":""3_QID295""}","{""ImportId"":""3_QID296""}","{""ImportId"":""3_QID297""}","{""ImportId"":""9_QID300""}","{""ImportId"":""9_QID301""}","{""ImportId"":""9_QID302""}","{""ImportId"":""9_QID303""}","{""ImportId"":""9_QID304""}","{""ImportId"":""9_QID305""}","{""ImportId"":""10_QID300""}","{""ImportId"":""10_QID301""}","{""ImportId"":""10_QID302""}","{""ImportId"":""10_QID303""}","{""ImportId"":""10_QID304""}","{""ImportId"":""10_QID305""}","{""ImportId"":""11_QID300""}","{""ImportId"":""11_QID301""}","{""ImportId"":""11_QID302""}","{""ImportId"":""11_QID303""}","{""ImportId"":""11_QID304""}","{""ImportId"":""11_QID305""}","{""ImportId"":""FL_21_DO""}","{""ImportId"":""FL_4_DO""}","{""ImportId"":""FL_18_DO""}","{""ImportId"":""FL_19_DO""}","{""ImportId"":""FL_20_DO""}","{""ImportId"":""BL_cvbYzHUQA9GUQw6_DO""}","{""ImportId"":""BL_ex1cm9ilxHTc2ge_DO""}","{""ImportId"":""BL_9H5hkRas7a7r9K6_DO""}","{""ImportId"":""BL_82rFRB3GyCCPW3Y_DO""}","{""ImportId"":""BL_czJd0nGhjkFTKp8_DO""}","{""ImportId"":""BL_7OFhpVrbMJzXo7s_DO""}","{""ImportId"":""BL_1STt2QEMkNjjtTE_DO""}","{""ImportId"":""BL_8eNlkUnqE8eTMTI_DO""}"
9/16/2024 8:38,9/16/2024 8:38,0,100,29,1,9/16/2024 8:38,,,,,anonymous,EN,1,5d5069303945ac00012780b7,5f2ce47b390fbc21a8358f9b,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/2024 8:36,9/16/2024 8:39,0,100,131,1,9/16/2024 8:39,,,,,anonymous,EN,1,5c51d18698b0ff000110da96,5d5069303945ac00012780b7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,5,5,,,,,,,4,5,6,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,2,2,,,,,,,,,,,,,,,,,,,4,5,3,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_19|FL_4|FL_20|FL_18,uninsightfulvienna,insightfulblockbuster,insightfulmerrick,insightfulbike,,Q242|Q243|v.3_s|a.3_s|x.3_s|p.3_s|u.3_s|i.3_s,Q274|Q275|a.2_m|p.2_m|i.2_m|x.2_m|u.2_m|v.2_m,,Q220|Q221|i.2_f|p.2_f|u.2_f|x.2_f|a.2_f|v.2_f,,Q290|Q291|p.2_b|i.2_b|a.2_b|x.2_b|v.2_b|u.2_b,
9/16/2024 8:38,9/16/2024 8:39,0,100,38,1,9/16/2024 8:39,,,,,anonymous,EN,1,6105840674f35a82fdbeea91,6100e89a995de94b6d3afd64,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
