"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consent","id","com.1","com.2","rel.int.vien","rel.share.vien","rel.surp.vien","rel.mem.vien","rel.eng.vien","irr.int.vien","irr.share.vien","irr.surp.vien","irr.mem.vien","irr.eng.vien","rel.int.bike","rel.share.bike","rel.surp.bike","rel.mem.bike","rel.eng.bike","irr.int.bike","irr.share.bike","irr.surp.bike","irr.mem.bike","irr.eng.bike","irr.int.food","irr.share.food","irr.surp.food","irr.mem.food","irr.eng.food","rel.int.food","rel.share.food","rel.surp.food","rel.mem.food","rel.eng.food","rel.int.film","rel.share.film","rel.surp.film","rel.mem.film","rel.eng.film","irr.int.film","irr.share.film","irr.surp.film","irr.mem.film","irr.eng.film","FL_524_DO","viennarelevant_DO","viennairrelevant_DO","bikerelevant_DO","bikeirrelevant_DO","merrickrelevant_DO","merrickirrelevant_DO","blockbusterrelevant_DO","blockbusterirrelevant_DO"
"10/3/2024 15:12","10/3/2024 15:14","0","100","147","1","10/3/2024 15:14","","","","","anonymous","EN","1",260,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","5","3","2","3","5","","","","","","","","","","","merrickirrelevant","","","","","","Q832|rel.int.food|rel.eng.food|rel.share.food|rel.mem.food|rel.surp.food","",""
"10/3/2024 15:11","10/3/2024 15:14","0","100","164","1","10/3/2024 15:14","","","","","anonymous","EN","1",261,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","6","7","7","","","","","","blockbusterrelevant","","","","","","","Q838|rel.mem.film|rel.eng.film|rel.int.film|rel.share.film|rel.surp.film",""
"10/3/2024 15:12","10/3/2024 15:14","0","100","142","1","10/3/2024 15:14","","","","","anonymous","EN","1",262,"7","1","","","","","","5","2","3","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","viennairrelevant","","Q539|irr.int.vien|irr.share.vien|irr.surp.vien|irr.eng.vien|irr.mem.vien","","","","","",""
"10/3/2024 15:13","10/3/2024 15:14","0","100","82","1","10/3/2024 15:14","","","","","anonymous","EN","1",263,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4","3","6","5","","","","","","blockbusterrelevant","","","","","","","Q838|rel.mem.film|rel.eng.film|rel.surp.film|rel.int.film|rel.share.film",""
"10/3/2024 15:13","10/3/2024 15:14","0","100","67","1","10/3/2024 15:14","","","","","anonymous","EN","1",264,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","4","5","4","blockbusterirrelevant","","","","","","","","Q844|irr.mem.film|irr.int.film|irr.share.film|irr.eng.film|irr.surp.film"
"10/3/2024 15:12","10/3/2024 15:14","0","100","159","1","10/3/2024 15:14","","","","","anonymous","EN","1",265,"7","1","6","2","5","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","viennarelevant","Q808|rel.eng.vien|rel.int.vien|rel.surp.vien|rel.share.vien|rel.mem.vien","","","","","","",""
"10/3/2024 15:13","10/3/2024 15:14","0","100","57","1","10/3/2024 15:14","","","","","anonymous","EN","1",266,"7","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/3/2024 15:13","10/3/2024 15:14","0","100","98","1","10/3/2024 15:14","","","","","anonymous","EN","1",267,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","5","5","6","5","","","","","","blockbusterrelevant","","","","","","","Q838|rel.int.film|rel.mem.film|rel.share.film|rel.surp.film|rel.eng.film",""
"10/3/2024 15:11","10/3/2024 15:14","0","100","186","1","10/3/2024 15:14","","","","","anonymous","EN","1",268,"7","1","","","","","","5","4","5","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","viennairrelevant","","Q539|irr.int.vien|irr.mem.vien|irr.eng.vien|irr.share.vien|irr.surp.vien","","","","","",""
"10/3/2024 15:12","10/3/2024 15:14","0","100","137","1","10/3/2024 15:14","","","","","anonymous","EN","1",269,"7","1","","","","","","3","3","5","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","viennairrelevant","","Q539|irr.surp.vien|irr.share.vien|irr.int.vien|irr.mem.vien|irr.eng.vien","","","","","",""
"10/3/2024 15:14","10/3/2024 15:14","0","100","49","1","10/3/2024 15:14","","","","","anonymous","EN","1",270,"7","1","","","","","","","","","","","","","","","","","","","","","6","3","7","5","5","","","","","","","","","","","","","","","","merrickrelevant","","","","","Q826|irr.eng.food|irr.mem.food|irr.int.food|irr.surp.food|irr.share.food","","",""
"10/3/2024 15:13","10/3/2024 15:15","0","100","63","1","10/3/2024 15:15","","","","","anonymous","EN","1",271,"2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/3/2024 15:13","10/3/2024 15:15","0","100","88","1","10/3/2024 15:15","","","","","anonymous","EN","1",272,"7","1","","","","","","","","","","","","","","","","5","6","6","6","6","","","","","","","","","","","","","","","","","","","","","bikeirrelevant","","","","Q814|irr.share.bike|irr.mem.bike|irr.eng.bike|irr.surp.bike|irr.int.bike","","","",""
"10/3/2024 15:12","10/3/2024 15:15","0","100","138","1","10/3/2024 15:15","","","","","anonymous","EN","1",273,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","5","6","6","5","5","","","","","","","","","","","merrickirrelevant","","","","","","Q832|rel.mem.food|rel.int.food|rel.eng.food|rel.share.food|rel.surp.food","",""
"10/3/2024 15:14","10/3/2024 15:15","0","100","70","1","10/3/2024 15:15","","","","","anonymous","EN","1",274,"4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/3/2024 15:12","10/3/2024 15:15","0","100","172","1","10/3/2024 15:15","","","","","anonymous","EN","1",275,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","3","2","2","blockbusterirrelevant","","","","","","","","Q844|irr.eng.film|irr.surp.film|irr.int.film|irr.mem.film|irr.share.film"
"10/3/2024 15:11","10/3/2024 15:15","0","100","201","1","10/3/2024 15:15","","","","","anonymous","EN","1",276,"7","1","","","","","","","","","","","","","","","","","","","","","2","3","6","3","1","","","","","","","","","","","","","","","","merrickrelevant","","","","","Q826|irr.surp.food|irr.int.food|irr.eng.food|irr.mem.food|irr.share.food","","",""
"10/3/2024 15:12","10/3/2024 15:15","0","100","183","1","10/3/2024 15:15","","","","","anonymous","EN","1",277,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","4","1","1","6","5","","","","","","","","","","","merrickirrelevant","","","","","","Q832|rel.eng.food|rel.mem.food|rel.share.food|rel.int.food|rel.surp.food","",""
