Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-04-03T17:25:49.132000Z,2024-04-03T17:29:02.215000Z,2024-04-03T23:49:41.953000Z,2024-04-30T12:00:28.447415Z,194,C1KIDJP4,550,English,25,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-03T17:25:49.705000Z,2024-04-03T17:38:32.233000Z,2024-04-03T23:49:42.275000Z,2024-04-30T12:00:28.696737Z,763,C1KIDJP4,839,English,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-03T17:26:16.198000Z,2024-04-03T17:32:48.167000Z,2024-04-03T23:49:00.390000Z,2024-04-30T12:00:32.206518Z,392,C1KIDJP4,427,English,31,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-03T17:25:54.811000Z,2024-04-03T17:29:05.916000Z,2024-04-03T23:49:42.630000Z,2024-04-30T12:00:28.044814Z,192,C1KIDJP4,1633,English,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-04-03T17:25:51.940000Z,2024-04-03T17:30:22.106000Z,2024-04-03T23:49:43.031000Z,2024-04-30T12:00:35.945486Z,271,C1KIDJP4,66,English,33,Male,Other,Peru,Austria,Peru,Spanish,No,Full-Time
APPROVED,Not Applicable,2024-04-03T17:25:52.830000Z,2024-04-03T17:31:28.836000Z,2024-04-03T23:49:43.414000Z,2024-04-30T12:00:28.291198Z,337,C1KIDJP4,1201,English,47,Male,White,United Kingdom,Greece,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2024-04-03T17:25:57.137000Z,2024-04-03T17:31:06.647000Z,2024-04-03T23:49:43.770000Z,2024-04-30T12:00:28.509501Z,310,C1KIDJP4,293,English,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2024-04-03T17:27:27.926000Z,2024-04-03T17:36:38.550000Z,2024-04-03T23:49:44.120000Z,2024-04-30T12:00:29.460676Z,551,C1KIDJP4,527,English,25,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-04-03T17:27:24.152000Z,2024-04-03T17:31:10.044000Z,2024-04-03T23:49:44.469000Z,2024-04-30T12:00:28.713651Z,226,C1KIDJP4,127,English,27,Male,White,Canada,Canada,Canada,English,Yes,Part-Time
APPROVED,Not Applicable,2024-04-03T17:27:31.957000Z,2024-04-03T17:31:48.932000Z,2024-04-03T23:49:44.806000Z,2024-04-30T12:00:29.767823Z,257,C1KIDJP4,636,"English, Afrikaans",23,Male,Mixed,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-03T17:35:14.834000Z,2024-04-03T17:38:15.677000Z,2024-04-03T23:49:00.796000Z,2024-04-30T12:00:30.906662Z,181,C1KIDJP4,282,English,31,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
