Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-05-14T16:17:31.605000Z,2024-05-14T16:18:38.740000Z,2024-05-14T17:44:34.327000Z,2024-05-14T16:18:40.445874Z,68,CWXOPOUY,83,"French, English",30,Female,White,France,France,France,French,No,Full-Time
APPROVED,Not Applicable,2024-05-14T16:19:33.253000Z,2024-05-14T16:20:51.339000Z,2024-05-14T17:42:59.287000Z,2024-05-14T16:20:52.011356Z,79,CWXOPOUY,3034,English,62,Male,White,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2024-05-14T16:22:36.354000Z,2024-05-14T16:28:28.111000Z,2024-05-14T17:42:59.842000Z,2024-05-14T16:28:28.753457Z,352,CWXOPOUY,551,English,51,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Other
APPROVED,Not Applicable,2024-05-14T16:24:23.114000Z,2024-05-14T16:27:30.201000Z,2024-05-14T17:43:00.424000Z,2024-05-14T16:27:30.804694Z,188,CWXOPOUY,220,English,60,Male,White,Australia,France,Luxembourg,English,No,Part-Time
APPROVED,Not Applicable,2024-05-14T16:26:41.061000Z,2024-05-14T16:29:21.267000Z,2024-05-14T17:44:34.904000Z,2024-05-14T16:29:21.783290Z,161,CWXOPOUY,730,English,41,Female,White,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2024-05-14T16:27:16.125000Z,2024-05-14T16:28:30.360000Z,2024-05-14T17:44:35.334000Z,2024-05-14T16:28:30.969122Z,75,CWXOPOUY,1224,English,29,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-05-14T16:28:27.670000Z,2024-05-14T16:29:08.830000Z,2024-05-14T17:43:00.864000Z,2024-05-14T16:29:09.467743Z,42,CWXOPOUY,3674,English,31,Male,White,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2024-05-14T16:30:00.747000Z,2024-05-14T16:31:31.574000Z,2024-05-14T17:43:01.344000Z,2024-05-14T16:31:32.241613Z,91,CWXOPOUY,67,English,27,Male,White,Germany,Germany,Germany,German,No,Full-Time
APPROVED,Not Applicable,2024-05-14T16:30:08.998000Z,2024-05-14T16:31:46.566000Z,2024-05-14T17:43:01.789000Z,2024-05-14T16:31:47.145245Z,98,CWXOPOUY,386,English,28,Male,White,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2024-05-14T16:30:32.356000Z,2024-05-14T16:31:56.420000Z,2024-05-14T17:44:35.813000Z,2024-05-14T16:31:57.079603Z,85,CWXOPOUY,267,English,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-05-14T16:30:57.537000Z,2024-05-14T16:31:44.528000Z,2024-05-14T17:44:36.472000Z,2024-05-14T16:31:45.034839Z,47,CWXOPOUY,804,English,28,Female,White,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2024-05-14T16:31:49.756000Z,2024-05-14T16:33:25.418000Z,2024-05-14T17:44:37.129000Z,2024-05-14T16:33:26.034348Z,96,CWXOPOUY,404,English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
APPROVED,Not Applicable,2024-05-14T16:32:14Z,2024-05-14T16:37:21.154000Z,2024-05-14T17:44:37.640000Z,2024-05-14T16:40:01.239756Z,308,CWXOPOUY,717,English,33,Female,White,Iran,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2024-05-14T16:32:17.023000Z,2024-05-14T16:32:56.440000Z,2024-05-14T17:44:38.063000Z,2024-05-14T16:32:57.058245Z,40,CWXOPOUY,654,"Italian, English, Spanish",21,Female,White,Italy,Italy,Italy,Italian,Yes,Part-Time
APPROVED,Not Applicable,2024-05-14T16:32:17.863000Z,2024-05-14T16:33:20.590000Z,2024-05-14T17:44:38.520000Z,2024-05-14T16:33:21.281135Z,63,CWXOPOUY,499,English,36,Female,White,Turkey,Portugal,Turkey,Turkish,No,Full-Time
APPROVED,Not Applicable,2024-05-14T16:32:14.715000Z,2024-05-14T16:35:02.717000Z,2024-05-14T17:44:38.943000Z,2024-05-14T16:35:03.369955Z,169,CWXOPOUY,449,"Greek, English",27,Female,White,Greece,Greece,Greece,Greek,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-05-14T16:32:19.537000Z,2024-05-14T16:35:09.801000Z,2024-05-14T17:44:39.470000Z,2024-05-14T16:35:10.904323Z,171,CWXOPOUY,90,English,26,Female,Black,Malawi,South Africa,Malawi,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-05-14T16:32:31.390000Z,2024-05-14T16:34:20.812000Z,2024-05-14T17:44:39.911000Z,2024-05-14T16:34:24.448471Z,110,CWXOPOUY,156,English,23,Female,Black,South Africa,South Africa,South Africa,Other,Yes,Part-Time
