Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-09-16T14:38:48.101000Z,2024-09-16T14:39:31.252000Z,2024-09-26T05:20:09.035000Z,2024-09-16T14:39:32.514378Z,44,C180QPRS,124,"Greek, English",29,Female,White,Greece,Greece,Greece,Greek,No,Full-Time
APPROVED,Not Applicable,2024-09-16T14:38:49.697000Z,2024-09-16T14:42:57.025000Z,2024-09-26T05:20:09.510000Z,2024-09-16T14:42:58.341598Z,248,C180QPRS,913,English,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-16T14:39:02.688000Z,2024-09-16T14:41:03.771000Z,2024-09-26T05:20:09.825000Z,2024-09-16T14:41:04.467950Z,122,C180QPRS,182,English,21,Female,White,Canada,Canada,Canada,English,Yes,Full-Time
APPROVED,Not Applicable,2024-09-16T14:39:20.164000Z,2024-09-16T14:53:13.693000Z,2024-09-26T05:20:10.186000Z,2024-09-16T14:53:17.317909Z,834,C180QPRS,81,"Afrikaans, English",37,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-09-16T14:39:05.896000Z,2024-09-16T14:42:43.221000Z,2024-09-26T05:20:10.518000Z,2024-09-16T14:42:45.296815Z,218,C180QPRS,181,English,24,Female,White,Canada,Canada,Canada,English,Yes,Other
APPROVED,Not Applicable,2024-09-16T14:38:59.938000Z,2024-09-16T14:42:13.893000Z,2024-09-26T05:20:10.842000Z,2024-09-16T14:42:14.630036Z,194,C180QPRS,718,English,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-16T14:39:02.771000Z,2024-09-16T14:43:10.602000Z,2024-09-26T05:20:11.191000Z,2024-09-16T14:43:11.971182Z,248,C180QPRS,104,English,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-16T14:39:12.716000Z,2024-09-16T14:42:18.982000Z,2024-09-26T05:20:11.621000Z,2024-09-16T14:42:19.666387Z,187,C180QPRS,588,English,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-16T14:39:06.493000Z,2024-09-16T14:40:57.402000Z,2024-09-26T05:20:12.299000Z,2024-09-17T15:13:11.480764Z,111,C180QPRS,237,English,29,Female,Asian,Canada,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2024-09-16T14:39:05.723000Z,2024-09-16T14:42:01.208000Z,2024-09-26T05:20:25.457000Z,2024-09-16T14:42:01.930005Z,176,C180QPRS,148,"English, Spanish",29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-16T14:39:11.616000Z,2024-09-16T14:39:47.057000Z,2024-09-26T05:20:12.637000Z,2024-09-16T14:39:47.736352Z,36,C180QPRS,126,English,26,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-16T14:39:14.414000Z,2024-09-16T14:43:55.956000Z,2024-09-26T05:20:12.973000Z,2024-09-16T14:43:56.829897Z,282,C180QPRS,572,English,20,Female,White,United Kingdom,United States,United States,English,Yes,Due to start a new job within the next month
APPROVED,Not Applicable,2024-09-16T14:39:16.429000Z,2024-09-16T14:42:00.560000Z,2024-09-26T05:20:25.993000Z,2024-09-16T14:42:01.150659Z,165,C180QPRS,243,English,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
APPROVED,Not Applicable,2024-09-16T14:39:17.043000Z,2024-09-16T14:41:51.907000Z,2024-09-26T05:20:13.397000Z,2024-09-16T14:41:52.834739Z,155,C180QPRS,0,English,29,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-09-16T14:39:17.968000Z,2024-09-16T14:41:27.592000Z,2024-09-26T05:20:13.697000Z,2024-09-16T14:41:28.544910Z,130,C180QPRS,403,English,24,Female,Other,Canada,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2024-09-16T14:39:26.522000Z,2024-09-16T14:45:11.229000Z,2024-09-26T05:20:14.007000Z,2024-09-16T14:45:19.574017Z,345,C180QPRS,3,English,55,Female,Black,Nigeria,United Kingdom,Nigeria,English,DATA_EXPIRED,Full-Time
