"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consent","id","X56_att","X56_v.n","X56_p.n","X56_i.n","X56_u.n","X56_a.n","X57_att","X57_v.n","X57_p.n","X57_i.n","X57_u.n","X57_a.n","X58_att","X58_v.n","X58_p.n","X58_i.n","X58_u.n","X58_a.n","X59_att","X59_v.n","X59_p.n","X59_i.n","X59_u.n","X59_a.n","X60_att","X60_v.n","X60_p.n","X60_i.n","X60_u.n","X60_a.n","X61_att","X61_v.n","X61_p.n","X61_i.n","X61_u.n","X61_a.n","X62_att","X62_v.n","X62_p.n","X62_i.n","X62_u.n","X62_a.n","X63_att","X63_v.n","X63_p.n","X63_i.n","X63_u.n","X63_a.n","X64_att","X64_v.n","X64_p.n","X64_i.n","X64_u.n","X64_a.n","X65_att","X65_v.n","X65_p.n","X65_i.n","X65_u.n","X65_a.n","X19_att","X19_v.g","X19_p.g","X19_i.g","X19_u.g","X19_a.g","X20_att","X20_v.g","X20_p.g","X20_i.g","X20_u.g","X20_a.g","X21_att","X21_v.g","X21_p.g","X21_i.g","X21_u.g","X21_a.g","X22_att","X22_v.g","X22_p.g","X22_i.g","X22_u.g","X22_a.g","X23_att","X23_v.g","X23_p.g","X23_i.g","X23_u.g","X23_a.g","X24_att","X24_v.g","X24_p.g","X24_i.g","X24_u.g","X24_a.g","X25_att","X25_v.g","X25_p.g","X25_i.g","X25_u.g","X25_a.g","X26_att","X26_v.g","X26_p.g","X26_i.g","X26_u.g","X26_a.g","X27_att","X27_v.g","X27_p.g","X27_i.g","X27_u.g","X27_a.g","X28_att","X28_v.g","X28_p.g","X28_i.g","X28_u.g","X28_a.g","FL_77_DO","case_DO","message_DO"
"4/4/2024 7:25","4/4/2024 7:26","0","100","63","1","4/4/2024 7:26","","","","","anonymous","EN","1",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","6","3","6","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","message","","Q210|message|v.g|i.g|u.g|a.g|p.g|att"
"4/4/2024 7:26","4/4/2024 7:27","0","100","35","1","4/4/2024 7:27","","","","","anonymous","EN","1",2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","5","5","6","2","","","","","","","","","","","","","message","","Q210|message|u.g|v.g|p.g|att|a.g|i.g"
"4/4/2024 7:26","4/4/2024 7:27","0","100","36","1","4/4/2024 7:27","","","","","anonymous","EN","1",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","6","4","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","message","","Q210|message|v.g|a.g|att|p.g|u.g|i.g"
"4/4/2024 7:26","4/4/2024 7:27","0","100","66","1","4/4/2024 7:27","","","","","anonymous","EN","1",4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","4","5","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","case","Q129|case|u.n|p.n|v.n|att|i.n|a.n",""
"4/4/2024 7:27","4/4/2024 7:27","0","100","32","1","4/4/2024 7:27","","","","","anonymous","EN","1",5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","case","Q129|case|v.n|a.n|u.n|att|i.n|p.n",""
"4/4/2024 7:26","4/4/2024 7:28","0","100","106","1","4/4/2024 7:28","","","","","anonymous","EN","1",6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","6","5","5","6","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","message","","Q210|message|u.g|att|a.g|i.g|v.g|p.g"
"4/4/2024 7:27","4/4/2024 7:28","0","100","63","1","4/4/2024 7:28","","","","","anonymous","EN","1",7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","6","4","4","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","message","","Q210|message|u.g|a.g|v.g|att|i.g|p.g"
"4/4/2024 7:27","4/4/2024 7:28","0","100","90","1","4/4/2024 7:28","","","","","anonymous","EN","1",8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","3","4","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","case","Q129|case|v.n|att|p.n|u.n|a.n|i.n",""
"4/4/2024 7:27","4/4/2024 7:28","0","100","70","1","4/4/2024 7:28","","","","","anonymous","EN","1",9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1","3","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","message","","Q210|message|p.g|i.g|att|v.g|a.g|u.g"
"4/4/2024 7:27","4/4/2024 7:28","0","100","72","1","4/4/2024 7:28","","","","","anonymous","EN","1",10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","4","7","6","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","message","","Q210|message|u.g|att|v.g|i.g|p.g|a.g"
