Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2025-03-28T14:41:48.567000Z,2025-03-28T14:43:04.149000Z,2025-04-05T16:42:03.856000Z,2025-03-28T14:43:04.844254Z,76,C8TRMCWU,180,English,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
APPROVED,Not Applicable,2025-03-28T14:42:11.347000Z,2025-03-28T14:44:35.211000Z,2025-04-05T16:42:05.154000Z,2025-03-28T14:44:36.627844Z,144,C8TRMCWU,491,English,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-03-28T14:42:50.504000Z,2025-03-28T14:45:52.404000Z,2025-04-05T16:42:05.771000Z,2025-03-28T14:45:53.229115Z,182,C8TRMCWU,323,English,31,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2025-03-28T14:42:57.925000Z,2025-03-28T14:45:23.049000Z,2025-04-05T16:44:30.014000Z,2025-03-28T14:45:23.869151Z,146,C8TRMCWU,400,"Slovenian, English",29,Male,White,Slovenia,Slovenia,Slovenia,Slovenian,No,Full-Time
APPROVED,Not Applicable,2025-03-28T14:43:33.900000Z,2025-03-28T14:45:22.342000Z,2025-04-05T16:44:30.840000Z,2025-03-28T14:45:24.228597Z,109,C8TRMCWU,301,"English, Polish",23,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
APPROVED,Not Applicable,2025-03-28T14:43:23.671000Z,2025-03-28T14:44:53.952000Z,2025-04-05T16:44:31.545000Z,2025-03-28T14:44:55.143564Z,91,C8TRMCWU,81,English,27,Male,Asian,Sri Lanka,United Kingdom,Sri Lanka,Tamil,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2025-03-28T14:43:58.206000Z,2025-03-28T14:46:29.792000Z,2025-04-05T16:44:32.313000Z,2025-03-28T14:46:31.929971Z,152,C8TRMCWU,124,"Afrikaans, English",28,Male,Other,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2025-03-28T14:43:37.236000Z,2025-03-28T14:44:31.551000Z,2025-04-05T16:44:32.996000Z,2025-03-28T14:44:33.230447Z,55,C8TRMCWU,957,English,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2025-03-28T14:43:44.662000Z,2025-03-28T14:46:07.054000Z,2025-04-05T16:44:33.623000Z,2025-03-28T14:46:07.790537Z,143,C8TRMCWU,9,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2025-03-28T14:43:54.849000Z,2025-03-28T14:47:57.217000Z,2025-04-05T16:44:34.468000Z,2025-03-28T14:48:18.729023Z,243,C8TRMCWU,0,"Afrikaans, English, German, Hebrew",32,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2025-03-28T14:46:39.763000Z,2025-03-28T14:50:13.095000Z,2025-04-05T16:44:35.341000Z,2025-03-28T14:50:14.986293Z,214,C8TRMCWU,349,"French, English",23,Male,White,Canada,Canada,Canada,French,Yes,Full-Time
APPROVED,Not Applicable,2025-03-28T14:44:37.416000Z,2025-03-28T14:50:24.918000Z,2025-04-05T16:44:36.002000Z,2025-03-28T16:18:25.693850Z,348,C8TRMCWU,603,English,29,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2025-03-28T14:44:19.237000Z,2025-03-28T14:48:55.090000Z,2025-04-05T16:44:36.724000Z,2025-03-28T14:48:55.977418Z,276,C8TRMCWU,19,"Danish, English, Turkish",24,Male,Mixed,Denmark,Denmark,Denmark,Danish,Yes,Other
