Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2025-12-22T15:10:59.424000Z,2025-12-22T15:13:08.844000Z,2025-12-23T21:37:27.986000Z,2025-12-22T15:13:09.258765Z,130,C8TRMCWU,5396,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:01.995000Z,2025-12-22T15:14:21.700000Z,2025-12-23T21:37:28.280000Z,2025-12-22T15:14:22.102557Z,200,C8TRMCWU,5631,46,Female,White,United States,United States,United States,English,No,Part-Time
APPROVED,Not Applicable,2025-12-22T15:11:01.887000Z,2025-12-22T15:15:03.193000Z,2025-12-23T21:37:28.553000Z,2025-12-22T15:15:03.580286Z,242,C8TRMCWU,264,31,Female,White,United States,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:10.816000Z,2025-12-22T15:12:21.525000Z,2025-12-23T21:36:47.391000Z,2025-12-22T15:12:21.979130Z,71,C8TRMCWU,605,24,Male,Asian,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:12.028000Z,2025-12-22T15:14:07.379000Z,2025-12-23T21:37:28.816000Z,2025-12-22T15:14:07.779344Z,176,C8TRMCWU,21,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:04.242000Z,2025-12-22T15:13:01.558000Z,2025-12-23T21:36:47.745000Z,2025-12-22T15:13:01.978029Z,118,C8TRMCWU,76,43,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:06.549000Z,2025-12-22T15:12:58.283000Z,2025-12-23T21:36:48.050000Z,2025-12-22T15:12:58.675717Z,112,C8TRMCWU,3772,70,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:08.362000Z,2025-12-22T15:13:25.790000Z,2025-12-23T21:36:48.312000Z,2025-12-22T15:13:26.190301Z,138,C8TRMCWU,60,43,Male,White,United States,Japan,United States,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:06.454000Z,2025-12-22T15:13:44.294000Z,2025-12-23T21:36:48.608000Z,2025-12-22T15:13:44.700387Z,158,C8TRMCWU,2603,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:59.875000Z,2025-12-22T15:15:06.381000Z,2025-12-23T21:37:29.076000Z,2025-12-22T15:15:06.804869Z,187,C8TRMCWU,574,23,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:07.458000Z,2025-12-22T15:13:06.787000Z,2025-12-23T21:36:48.889000Z,2025-12-22T15:13:07.207294Z,120,C8TRMCWU,50,43,Male,White,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:13.743000Z,2025-12-22T15:15:05.983000Z,2025-12-23T21:37:29.321000Z,2025-12-22T15:15:06.471296Z,233,C8TRMCWU,1592,32,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:08.926000Z,2025-12-22T15:12:47.474000Z,2025-12-23T21:36:49.180000Z,2025-12-22T15:12:47.880096Z,99,C8TRMCWU,729,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:35.730000Z,2025-12-22T15:19:10.132000Z,2025-12-23T21:37:29.554000Z,2025-12-22T15:19:10.515190Z,455,C8TRMCWU,630,44,Female,Asian,India,India,India,English,No,DATA_EXPIRED
APPROVED,Not Applicable,2025-12-22T15:11:10.603000Z,2025-12-22T15:12:12.299000Z,2025-12-23T21:37:29.804000Z,2025-12-22T15:12:12.718556Z,62,C8TRMCWU,5315,69,Female,White,United States,United Kingdom,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2025-12-22T15:11:09.528000Z,2025-12-22T15:13:09.407000Z,2025-12-23T21:36:49.462000Z,2025-12-22T15:13:09.776862Z,120,C8TRMCWU,2911,46,Male,White,Canada,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:10.096000Z,2025-12-22T15:12:20.232000Z,2025-12-23T21:37:30.101000Z,2025-12-22T15:12:20.643831Z,71,C8TRMCWU,7190,40,Female,White,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:09.953000Z,2025-12-22T15:15:25.913000Z,2025-12-23T21:36:49.724000Z,2025-12-22T15:15:27.778965Z,256,C8TRMCWU,2768,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:14.337000Z,2025-12-22T15:16:50.309000Z,2025-12-23T21:36:49.977000Z,2025-12-22T15:16:50.716878Z,336,C8TRMCWU,37,29,Male,Black,South Africa,South Africa,South Africa,English,No,Part-Time
APPROVED,Not Applicable,2025-12-22T15:11:11.753000Z,2025-12-22T15:12:57.752000Z,2025-12-23T21:36:50.215000Z,2025-12-22T15:12:58.153693Z,106,C8TRMCWU,712,27,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:13.618000Z,2025-12-22T15:13:00.928000Z,2025-12-23T21:36:50.464000Z,2025-12-22T15:21:52.695302Z,108,C8TRMCWU,3009,27,Male,White,United States,United States,United States,English,Yes,Due to start a new job within the next month
APPROVED,Not Applicable,2025-12-22T15:11:13.189000Z,2025-12-22T15:19:50.693000Z,2025-12-23T21:37:30.337000Z,2025-12-22T15:19:51.093819Z,518,C8TRMCWU,542,23,Female,White,Poland,Poland,Poland,Polish,Yes,DATA_EXPIRED
APPROVED,Not Applicable,2025-12-22T15:11:15.443000Z,2025-12-22T15:13:30.587000Z,2025-12-23T21:37:30.579000Z,2025-12-22T15:13:30.987470Z,136,C8TRMCWU,648,24,Female,Mixed,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:20.492000Z,2025-12-22T15:17:51.760000Z,2025-12-23T21:37:30.842000Z,2025-12-22T15:17:52.156626Z,392,C8TRMCWU,10095,32,Female,Mixed,United States,United States,United States,English,Yes,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:17.472000Z,2025-12-22T15:13:52.058000Z,2025-12-23T21:36:50.723000Z,2025-12-22T15:13:52.487678Z,155,C8TRMCWU,39,19,Male,White,Germany,Germany,Germany,German,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:12:05.252000Z,2025-12-22T15:14:24.685000Z,2025-12-23T21:37:31.130000Z,2025-12-22T15:14:25.108735Z,140,C8TRMCWU,323,32,Female,White,Ireland,Ireland,Ireland,English,DATA_EXPIRED,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:20.534000Z,2025-12-22T15:13:28.737000Z,2025-12-23T21:36:50.981000Z,2025-12-22T15:13:29.138885Z,129,C8TRMCWU,1524,35,Male,Mixed,Australia,Australia,Australia,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:20.700000Z,2025-12-22T15:13:07.677000Z,2025-12-23T21:36:51.232000Z,2025-12-22T15:13:08.081077Z,107,C8TRMCWU,726,31,Male,Mixed,Norway,Norway,Norway,Norwegian,DATA_EXPIRED,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:20.861000Z,2025-12-22T15:14:22.561000Z,2025-12-23T21:37:31.357000Z,2025-12-22T15:14:22.948681Z,182,C8TRMCWU,2016,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2025-12-22T15:11:21.270000Z,2025-12-22T15:13:12.504000Z,2025-12-23T21:36:51.490000Z,2025-12-22T15:13:13.080231Z,112,C8TRMCWU,2188,35,Male,White,United States,United States,United States,Polish,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:21.037000Z,2025-12-22T15:14:19.685000Z,2025-12-23T21:36:51.744000Z,2025-12-22T15:14:20.103579Z,179,C8TRMCWU,4118,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:27.297000Z,2025-12-22T15:14:01.851000Z,2025-12-23T21:36:51.967000Z,2025-12-22T15:14:02.392536Z,155,C8TRMCWU,4967,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:13:21.276000Z,2025-12-22T15:17:15.073000Z,2025-12-23T21:36:52.239000Z,2025-12-22T15:17:15.541604Z,234,C8TRMCWU,18,27,Male,White,Slovakia,Slovakia,Slovakia,Slovak,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:24.872000Z,2025-12-22T15:13:04.092000Z,2025-12-23T21:37:31.598000Z,2025-12-22T15:13:04.581800Z,100,C8TRMCWU,201,35,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time
APPROVED,Not Applicable,2025-12-22T15:11:25.866000Z,2025-12-22T15:15:28.132000Z,2025-12-23T21:37:31.917000Z,2025-12-22T15:15:28.562852Z,243,C8TRMCWU,978,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2025-12-22T15:11:29.279000Z,2025-12-22T15:13:51.557000Z,2025-12-23T21:37:32.229000Z,2025-12-22T15:13:51.988653Z,143,C8TRMCWU,2296,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:26.099000Z,2025-12-22T15:12:09.229000Z,2025-12-23T21:37:32.451000Z,2025-12-22T15:12:09.632083Z,44,C8TRMCWU,12503,39,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2025-12-22T15:11:31.842000Z,2025-12-22T15:13:22.066000Z,2025-12-23T21:37:32.686000Z,2025-12-22T15:13:22.482404Z,111,C8TRMCWU,3333,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:47.583000Z,2025-12-22T15:14:10.511000Z,2025-12-23T21:36:52.510000Z,2025-12-22T15:14:10.949423Z,143,C8TRMCWU,0,22,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:29.076000Z,2025-12-22T15:20:46.037000Z,2025-12-23T21:37:32.925000Z,2025-12-22T15:20:46.420205Z,557,C8TRMCWU,2370,46,Female,White,South Africa,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:12:33.750000Z,2025-12-22T15:14:13.661000Z,2025-12-23T21:36:52.804000Z,2025-12-22T15:14:14.050159Z,100,C8TRMCWU,1013,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2025-12-22T15:11:31.564000Z,2025-12-22T15:12:54.452000Z,2025-12-23T21:37:33.174000Z,2025-12-22T15:12:54.858476Z,83,C8TRMCWU,916,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:38.331000Z,2025-12-22T15:15:47.048000Z,2025-12-23T21:36:53.064000Z,2025-12-22T15:15:47.445530Z,249,C8TRMCWU,483,54,Male,Asian,India,India,India,Hindi,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:37.830000Z,2025-12-22T15:17:25.095000Z,2025-12-23T21:37:33.402000Z,2025-12-22T15:17:25.472625Z,348,C8TRMCWU,259,31,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
