Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-09-06T13:30:53.025000Z,2024-09-06T13:34:16.894000Z,2024-09-08T00:06:01.736000Z,2024-09-06T13:35:21.158781Z,204,C6KP7ESZ,704,"Portuguese, English, Spanish",46,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
APPROVED,Not Applicable,2024-09-06T13:31:10.718000Z,2024-09-06T13:34:52.842000Z,2024-09-08T00:06:03.337000Z,2024-09-06T13:37:04.357675Z,223,C6KP7ESZ,152,"English, Punjabi",28,Male,Asian,Canada,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2024-09-06T13:31:05.434000Z,2024-09-06T13:43:16.664000Z,2024-09-08T00:06:04.210000Z,2024-09-06T13:43:18.307858Z,732,C6KP7ESZ,422,"Slovenian, English",31,Male,White,Slovenia,Slovenia,Slovenia,Slovenian,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-06T13:31:14.716000Z,2024-09-06T13:36:12.699000Z,2024-09-08T00:06:05.048000Z,2024-09-06T13:37:36.022245Z,298,C6KP7ESZ,271,"English, Russian",27,Male,Asian,Kazakhstan,Czech Republic,Czech Republic,English,No,Full-Time
APPROVED,Not Applicable,2024-09-06T13:31:25.011000Z,2024-09-06T13:35:29.798000Z,2024-09-08T00:06:05.755000Z,2024-09-06T13:37:22.504576Z,245,C6KP7ESZ,509,English,27,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time
APPROVED,Not Applicable,2024-09-06T13:31:50.773000Z,2024-09-06T13:32:57.849000Z,2024-09-08T00:06:06.331000Z,2024-09-06T13:34:07.668052Z,68,C6KP7ESZ,90,"English, Afrikaans",27,Male,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-09-06T13:32:16.753000Z,2024-09-06T13:37:44.981000Z,2024-09-08T00:06:07.041000Z,2024-09-06T13:38:00.333741Z,329,C6KP7ESZ,933,English,42,Male,Asian,Netherlands,United Kingdom,United Kingdom,Cantonese,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-06T13:32:31.151000Z,2024-09-06T13:41:33.427000Z,2024-09-08T00:06:07.696000Z,2024-09-06T13:42:36.522922Z,543,C6KP7ESZ,15,English,36,Male,Black,Malawi,South Africa,Malawi,Swahili,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-06T13:32:16.579000Z,2024-09-06T13:33:47.774000Z,2024-09-08T00:06:08.400000Z,2024-09-06T13:34:56.626651Z,92,C6KP7ESZ,3,English,22,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-06T13:32:19.326000Z,2024-09-06T13:37:49.650000Z,2024-09-08T00:06:09.003000Z,2024-09-06T13:38:01.037019Z,331,C6KP7ESZ,12,English,30,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-09-06T13:32:07.106000Z,2024-09-06T13:35:24.577000Z,2024-09-08T00:06:09.700000Z,2024-09-06T13:37:18.956019Z,198,C6KP7ESZ,547,"Czech, English",26,Male,White,Czech Republic,Czech Republic,Czech Republic,Czech,No,Full-Time
APPROVED,Not Applicable,2024-09-06T13:32:41.175000Z,2024-09-06T13:36:29.801000Z,2024-09-08T00:06:10.497000Z,2024-09-06T13:37:42.677372Z,229,C6KP7ESZ,0,English,43,Male,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-06T13:32:25.141000Z,2024-09-06T13:35:13.211000Z,2024-09-08T00:06:11.083000Z,2024-09-06T13:37:13.710348Z,169,C6KP7ESZ,341,"Spanish, Catalan, English",25,Male,White,Spain,Spain,Spain,Spanish,Yes,Part-Time
APPROVED,Not Applicable,2024-09-06T13:32:26.477000Z,2024-09-06T13:36:23.287000Z,2024-09-08T00:08:10.459000Z,2024-09-06T13:37:38.660649Z,237,C6KP7ESZ,855,English,52,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-06T13:32:48.099000Z,2024-09-06T13:41:46.374000Z,2024-09-08T00:06:11.599000Z,2024-09-06T13:41:47.266099Z,539,C6KP7ESZ,18,English,38,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Full-Time
APPROVED,Not Applicable,2024-09-06T13:32:48.850000Z,2024-09-06T13:36:09.657000Z,2024-09-08T00:06:12.141000Z,2024-09-06T13:37:34.699112Z,201,C6KP7ESZ,57,English,21,Male,Asian,India,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-06T13:32:36.757000Z,2024-09-06T13:42:41.558000Z,2024-09-08T00:08:10.867000Z,2024-09-06T13:42:45.819515Z,605,C6KP7ESZ,131,"English, Polish, Russian",24,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
APPROVED,Not Applicable,2024-09-06T13:32:47.054000Z,2024-09-06T13:38:22.511000Z,2024-09-08T00:08:11.167000Z,2024-09-06T13:38:23.187654Z,336,C6KP7ESZ,1258,English,34,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-06T13:32:35.377000Z,2024-09-06T13:35:04.404000Z,2024-09-08T00:06:12.905000Z,2024-09-06T13:37:06.721331Z,150,C6KP7ESZ,481,English,21,Male,White,South Africa,South Africa,South Africa,English,Yes,Other
APPROVED,Not Applicable,2024-09-06T13:32:49.113000Z,2024-09-06T13:38:45.531000Z,2024-09-08T00:06:13.527000Z,2024-09-06T13:38:46.403915Z,357,C6KP7ESZ,19,English,41,Male,White,United States,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2024-09-06T13:32:43.555000Z,2024-09-06T13:37:47.225000Z,2024-09-08T00:08:11.488000Z,2024-09-06T13:38:01.192127Z,304,C6KP7ESZ,349,"English, Polish",29,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
APPROVED,Not Applicable,2024-09-06T13:32:48.364000Z,2024-09-06T13:36:19.656000Z,2024-09-08T00:06:14.100000Z,2024-09-06T13:37:39.338001Z,212,C6KP7ESZ,279,English,52,Male,White,Ireland,Ireland,Ireland,English,No,Part-Time
APPROVED,Not Applicable,2024-09-06T13:32:52.920000Z,2024-09-06T13:35:54.347000Z,2024-09-08T00:06:14.702000Z,2024-09-06T13:37:30.465091Z,182,C6KP7ESZ,187,English,38,Male,White,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2024-09-06T13:33:02.235000Z,2024-09-06T13:34:27.163000Z,2024-09-08T00:08:11.814000Z,2024-09-06T13:36:53.609480Z,85,C6KP7ESZ,584,English,34,Female,Black,South Africa,South Africa,South Africa,English,No,Due to start a new job within the next month
APPROVED,Not Applicable,2024-09-06T13:33:03.851000Z,2024-09-06T13:34:57.252000Z,2024-09-08T00:06:15.244000Z,2024-09-06T13:37:04.559269Z,114,C6KP7ESZ,68,English,42,Male,White,Poland,Spain,Poland,Polish,No,Full-Time
APPROVED,Not Applicable,2024-09-06T13:33:03.465000Z,2024-09-06T13:36:59.967000Z,2024-09-08T00:06:15.728000Z,2024-09-06T13:37:53.614210Z,237,C6KP7ESZ,78,"Polish, English",25,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-06T13:33:06.758000Z,2024-09-06T13:37:54.994000Z,2024-09-08T00:06:16.183000Z,2024-09-06T13:38:01.945953Z,289,C6KP7ESZ,7,English,34,Male,White,United States,Switzerland,United States,English,No,Full-Time
APPROVED,Not Applicable,2024-09-06T13:33:05.064000Z,2024-09-06T13:38:39.257000Z,2024-09-08T00:08:12.160000Z,2024-09-06T13:38:39.932519Z,335,C6KP7ESZ,468,English,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-09-06T13:33:02.766000Z,2024-09-06T13:37:34.102000Z,2024-09-08T00:06:16.645000Z,2024-09-06T13:37:59.116094Z,272,C6KP7ESZ,444,English,27,Male,Black,South Africa,South Africa,South Africa,English,No,Part-Time
APPROVED,Not Applicable,2024-09-06T13:33:02.023000Z,2024-09-06T13:37:07.308000Z,2024-09-08T00:08:12.512000Z,2024-09-06T13:37:56.294203Z,246,C6KP7ESZ,1632,English,53,Female,White,Canada,Canada,Canada,English,Yes,Full-Time
APPROVED,Not Applicable,2024-09-06T13:33:08.721000Z,2024-09-06T13:34:37.710000Z,2024-09-08T00:06:17.102000Z,2024-09-06T13:36:56.877896Z,89,C6KP7ESZ,149,English,32,Male,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-06T13:33:09.860000Z,2024-09-06T13:36:00.221000Z,2024-09-08T00:08:12.869000Z,2024-09-06T13:37:32.223234Z,171,C6KP7ESZ,1370,"English, Mandarin",45,Female,Asian,Taiwan,Canada,Canada,Chinese,No,Full-Time
APPROVED,Not Applicable,2024-09-06T13:33:51.715000Z,2024-09-06T13:42:10.699000Z,2024-09-08T00:06:17.564000Z,2024-09-06T13:42:11.521426Z,499,C6KP7ESZ,6,English,26,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-09-06T13:33:22.448000Z,2024-09-06T13:34:58.108000Z,2024-09-08T00:06:18.017000Z,2024-09-06T13:37:04.768185Z,96,C6KP7ESZ,311,English,24,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-06T13:34:02.212000Z,2024-09-06T13:41:53.735000Z,2024-09-08T00:08:13.308000Z,2024-09-06T13:41:54.537809Z,472,C6KP7ESZ,13,English,26,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-09-06T13:33:27.090000Z,2024-09-06T13:36:17.229000Z,2024-09-08T00:06:18.348000Z,2024-09-06T13:37:37.692495Z,171,C6KP7ESZ,1074,English,55,Male,White,Germany,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-06T13:33:27.293000Z,2024-09-06T13:34:35.806000Z,2024-09-08T00:08:13.676000Z,2024-09-06T13:36:55.730352Z,69,C6KP7ESZ,87,English,30,Female,Mixed,South Africa,South Africa,South Africa,English,Yes,Other
APPROVED,Not Applicable,2024-09-06T13:33:21.246000Z,2024-09-06T13:38:49.269000Z,2024-09-08T00:08:14.048000Z,2024-09-06T13:38:50.385855Z,329,C6KP7ESZ,11,"English, Swedish",25,Female,Asian,Indonesia,Sweden,Sweden,Indonesian,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-06T13:33:47.059000Z,2024-09-06T13:43:02.906000Z,2024-09-08T00:06:18.681000Z,2024-09-06T13:43:04.862368Z,556,C6KP7ESZ,3,"English, Other",24,Male,Black,South Africa,South Africa,South Africa,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2024-09-06T13:33:32.259000Z,2024-09-06T13:41:00.359000Z,2024-09-08T00:08:14.411000Z,2024-09-06T13:41:01.062129Z,449,C6KP7ESZ,30,English,49,Female,Mixed,South Africa,South Africa,South Africa,English,No,Other
APPROVED,Not Applicable,2024-09-06T13:33:30.083000Z,2024-09-06T13:38:05.065000Z,2024-09-08T00:08:14.755000Z,2024-09-06T13:38:05.787435Z,275,C6KP7ESZ,304,"Polish, English",23,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-06T13:33:32.172000Z,2024-09-06T13:37:17.686000Z,2024-09-08T00:08:15.114000Z,2024-09-06T13:37:57.659105Z,226,C6KP7ESZ,1277,English,43,Female,White,Canada,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2024-09-06T13:33:40.812000Z,2024-09-06T13:38:35.986000Z,2024-09-08T00:08:15.471000Z,2024-09-06T13:38:36.693876Z,296,C6KP7ESZ,103,English,30,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-06T13:33:36.024000Z,2024-09-06T13:38:21.001000Z,2024-09-08T00:06:18.988000Z,2024-09-06T13:38:21.967969Z,285,C6KP7ESZ,27,English,51,Male,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
