Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-05-13T14:07:25.114000Z,2024-05-13T14:11:05.836000Z,2024-05-13T16:30:47.867000Z,2024-05-13T14:12:52.285920Z,221,C1LX6UOE,679,English,29,Female,White,Australia,Australia,Australia,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2024-05-13T14:08:13.596000Z,2024-05-13T14:11:53.686000Z,2024-05-13T16:30:48.081000Z,2024-05-13T14:13:11.570139Z,221,C1LX6UOE,95,English,23,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time
APPROVED,Not Applicable,2024-05-13T14:14:35.034000Z,2024-05-13T14:17:20.951000Z,2024-05-13T16:30:48.303000Z,2024-05-13T14:17:21.635426Z,166,C1LX6UOE,610,English,30,Female,White,United States,South Africa,United States,English,No,Part-Time
APPROVED,Not Applicable,2024-05-13T14:09:46.379000Z,2024-05-13T14:15:12.024000Z,2024-05-13T16:30:48.552000Z,2024-05-13T14:15:12.646578Z,326,C1LX6UOE,264,English,27,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-05-13T14:09:54.326000Z,2024-05-13T14:19:21.208000Z,2024-05-13T16:30:48.792000Z,2024-05-13T14:19:21.718211Z,567,C1LX6UOE,191,English,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
APPROVED,Not Applicable,2024-05-13T14:09:45.238000Z,2024-05-13T14:18:32.842000Z,2024-05-13T16:30:49.199000Z,2024-05-13T14:18:33.499699Z,528,C1LX6UOE,631,"Spanish, English",25,Female,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
APPROVED,Not Applicable,2024-05-13T14:09:51.709000Z,2024-05-13T14:12:17.625000Z,2024-05-13T16:30:49.527000Z,2024-05-13T14:13:15.612879Z,146,C1LX6UOE,624,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2024-05-13T14:09:55.090000Z,2024-05-13T14:14:02.644000Z,2024-05-13T16:30:49.859000Z,2024-05-13T14:14:03.428865Z,248,C1LX6UOE,87,English,24,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-05-13T14:10:00.428000Z,2024-05-13T14:10:53.093000Z,2024-05-13T16:30:50.181000Z,2024-05-13T14:12:46.831395Z,53,C1LX6UOE,388,English,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-05-13T14:09:54.732000Z,2024-05-13T14:16:49.987000Z,2024-05-13T16:30:50.571000Z,2024-05-13T14:16:50.597571Z,416,C1LX6UOE,459,"Portuguese, English",27,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
APPROVED,Not Applicable,2024-05-13T14:09:58.969000Z,2024-05-13T14:13:03.958000Z,2024-05-13T16:30:50.915000Z,2024-05-13T14:13:24.713994Z,185,C1LX6UOE,510,"Greek, English",31,Female,White,Greece,Greece,Greece,Greek,Yes,Full-Time
APPROVED,Not Applicable,2024-05-13T14:10:12.442000Z,2024-05-13T14:15:03.995000Z,2024-05-13T16:30:51.206000Z,2024-05-13T15:15:11.916548Z,292,C1LX6UOE,17,"English, Other",32,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-05-13T14:10:06.676000Z,2024-05-13T14:11:15.141000Z,2024-05-13T16:30:51.612000Z,2024-05-13T14:12:55.716098Z,69,C1LX6UOE,0,English,26,Female,White,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-05-13T14:10:08.152000Z,2024-05-13T14:12:36.751000Z,2024-05-13T16:30:51.963000Z,2024-05-13T14:13:19.041812Z,149,C1LX6UOE,1492,English,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-05-13T14:10:03.673000Z,2024-05-13T14:14:19.316000Z,2024-05-13T16:30:52.232000Z,2024-05-13T14:14:19.773228Z,256,C1LX6UOE,81,English,24,Female,White,Latvia,Latvia,Latvia,Latvian,No,Full-Time
APPROVED,Not Applicable,2024-05-13T14:10:14.865000Z,2024-05-13T14:14:53.242000Z,2024-05-13T16:30:52.445000Z,2024-05-13T14:14:53.800088Z,279,C1LX6UOE,103,English,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-05-13T14:10:33.432000Z,2024-05-13T14:14:43.977000Z,2024-05-13T16:30:52.647000Z,2024-05-13T14:14:44.555063Z,251,C1LX6UOE,100,English,21,Female,Mixed,South Africa,South Africa,South Africa,English,No,Other
APPROVED,Not Applicable,2024-05-13T14:10:11.099000Z,2024-05-13T14:13:34Z,2024-05-13T16:30:52.894000Z,2024-05-13T14:13:34.561203Z,203,C1LX6UOE,213,"English, Afrikaans",61,Female,White,South Africa,South Africa,South Africa,English,No,Part-Time
APPROVED,Not Applicable,2024-05-13T14:10:10.959000Z,2024-05-13T14:15:32.614000Z,2024-05-13T16:30:53.136000Z,2024-05-13T14:15:33.734813Z,322,C1LX6UOE,33,"Dutch, English",30,Female,White,Belgium,Belgium,Belgium,Dutch,No,Full-Time
APPROVED,Not Applicable,2024-05-13T14:10:14.848000Z,2024-05-13T14:14:15.932000Z,2024-05-13T16:30:53.391000Z,2024-05-13T14:14:16.448005Z,242,C1LX6UOE,56,English,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
APPROVED,Not Applicable,2024-05-13T14:10:15.658000Z,2024-05-13T14:16:36.861000Z,2024-05-13T16:30:53.755000Z,2024-05-13T14:16:38.153143Z,382,C1LX6UOE,112,"Afrikaans, English",46,Female,White,South Africa,South Africa,South Africa,Afrikaans,DATA_EXPIRED,Full-Time
APPROVED,Not Applicable,2024-05-13T14:10:16.821000Z,2024-05-13T14:12:24.153000Z,2024-05-13T16:30:53.957000Z,2024-05-13T14:13:16.421013Z,128,C1LX6UOE,279,English,32,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-05-13T14:10:12.797000Z,2024-05-13T14:17:18.054000Z,2024-05-13T16:30:54.166000Z,2024-05-13T14:17:18.595134Z,426,C1LX6UOE,256,English,29,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-05-13T14:10:17.072000Z,2024-05-13T14:13:04.739000Z,2024-05-13T16:30:54.377000Z,2024-05-13T14:13:24.866654Z,168,C1LX6UOE,302,English,26,Female,Mixed,Zimbabwe,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-05-13T14:10:19.658000Z,2024-05-13T14:14:47.614000Z,2024-05-13T16:30:54.578000Z,2024-05-13T14:14:48.918617Z,268,C1LX6UOE,623,English,60,Female,White,United Kingdom,Greece,United Kingdom,English,No,Other
APPROVED,Not Applicable,2024-05-13T14:10:14.942000Z,2024-05-13T14:17:08.720000Z,2024-05-13T16:30:54.777000Z,2024-05-13T14:17:09.301091Z,414,C1LX6UOE,141,"English, Russian, Czech",27,Female,White,Russian Federation,Czech Republic,Russian Federation,Russian,Yes,Full-Time
APPROVED,Not Applicable,2024-05-13T14:10:17.405000Z,2024-05-13T14:14:01.657000Z,2024-05-13T16:30:54.976000Z,2024-05-13T14:14:02.327981Z,225,C1LX6UOE,8,English,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-05-13T14:10:22.490000Z,2024-05-13T14:12:17.371000Z,2024-05-13T16:30:55.185000Z,2024-05-13T14:13:15.406971Z,115,C1LX6UOE,1634,English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2024-05-13T14:10:20.509000Z,2024-05-13T14:17:42.180000Z,2024-05-13T16:30:55.396000Z,2024-05-13T14:17:42.930493Z,442,C1LX6UOE,148,"Italian, English",29,Female,White,Italy,Italy,Italy,Italian,No,Full-Time
APPROVED,Not Applicable,2024-05-13T14:10:26.750000Z,2024-05-13T14:13:10.059000Z,2024-05-13T16:30:55.691000Z,2024-05-13T14:13:25.471129Z,164,C1LX6UOE,1811,English,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2024-05-13T14:10:43.692000Z,2024-05-13T14:12:43.916000Z,2024-05-13T16:30:56.402000Z,2024-05-13T14:13:20.810270Z,121,C1LX6UOE,107,"English, Afrikaans",21,Female,Mixed,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-05-13T14:10:27.086000Z,2024-05-13T14:12:20.885000Z,2024-05-13T16:31:48.995000Z,2024-05-13T14:13:15.840385Z,114,C1LX6UOE,834,English,33,Male,White,United States,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2024-05-13T14:10:28.248000Z,2024-05-13T14:16:15.308000Z,2024-05-13T16:31:49.333000Z,2024-05-13T14:16:15.869687Z,348,C1LX6UOE,308,"English, Italian",30,Male,White,Italy,Switzerland,Italy,Italian,No,Full-Time
APPROVED,Not Applicable,2024-05-13T14:10:42.953000Z,2024-05-13T14:11:46.959000Z,2024-05-13T16:31:49.611000Z,2024-05-13T14:13:10.955158Z,65,C1LX6UOE,89,English,39,Male,White,Zimbabwe,South Africa,South Africa,English,Yes,Part-Time
APPROVED,Not Applicable,2024-05-13T14:10:26.081000Z,2024-05-13T14:13:38.919000Z,2024-05-13T16:30:56.838000Z,2024-05-13T14:13:39.623903Z,193,C1LX6UOE,587,"English, German, Spanish",25,Female,White,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking)
