Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
English,40,Female,White,United States,United States,United States,English,Yes,Full-Time
English,38,Female,White,United States,United States,United States,English,No,Part-Time
English,29,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
English,29,Female,Other,United States,Canada,United States,Spanish,No,Full-Time
English,33,Female,White,United States,United States,United States,English,No,Part-Time
"Afrikaans, Dutch, French, English",23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
English,26,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
"English, Afrikaans, Other",29,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,30,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
English,71,Female,Black,South Africa,South Africa,South Africa,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,53,Female,White,United States,United States,United States,English,No,Full-Time
English,24,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
English,31,Female,White,United States,United States,United States,English,No,Full-Time
English,50,Female,White,United States,United States,United States,English,Yes,Full-Time
English,22,Male,Black,United States,United States,United States,English,No,Full-Time
English,40,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
English,53,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,22,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
English,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,67,Female,White,United States,United States,United States,English,No,Full-Time
English,31,Female,White,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,58,Female,White,United States,United States,United States,English,No,Part-Time
English,29,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,29,Female,Black,Kenya,United Kingdom,United Kingdom,English,No,Full-Time
English,55,Female,Mixed,United States,United States,United States,English,No,Part-Time
English,24,Female,Asian,South Africa,South Africa,South Africa,English,No,Full-Time
English,26,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
English,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,43,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
English,56,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
"Arabic, German, Swahili, Portuguese, English",18,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
English,27,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,44,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,21,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
English,33,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
English,36,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
"Afrikaans, English, French",19,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
"English, Other, Afrikaans",25,Female,Black,South Africa,South Africa,South Africa,English,No,Due to start a new job within the next month
"English, Thai, Laotian, French",37,Male,Asian,Thailand,Canada,Canada,English,No,Full-Time
"Polish, English",48,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
"English, Korean",31,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time
"Portuguese, Spanish, English",23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
English,32,Male,White,United States,United States,United States,English,No,Full-Time
"English, Afrikaans, Dutch, French, German",30,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
