Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
English,32,Male,White,United States,United States,United States,English,No,Part-Time
English,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,38,Male,White,United States,United States,United States,English,No,Full-Time
"English, Other",24,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
"Arabic, English, Korean",19,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
English,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
English,36,Male,Black,Germany,United Kingdom,Canada,English,Yes,Full-Time
"Italian, English",45,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
English,29,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
"Polish, English",30,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
"English, German",37,Male,White,United Kingdom,United Kingdom,Germany,English,No,Other
English,35,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,66,Male,White,United States,United States,United States,English,No,Full-Time
English,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
English,51,Male,Black,United States,United States,United States,English,No,Full-Time
English,35,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
English,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
English,42,Male,White,Spain,United Kingdom,United Kingdom,English,Yes,Full-Time
English,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
"English, Other",44,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,54,Male,Mixed,United States,United States,United States,English,No,Full-Time
English,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
"English, Dutch",20,Male,Mixed,United Kingdom,Netherlands,Netherlands,English,Yes,Other
English,51,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
"Arabic, English, French, Afrikaans",36,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,23,Male,Black,United States,United States,United States,English,No,Full-Time
English,24,Male,White,United States,United States,United States,English,No,Part-Time
"Hungarian, German, English",33,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
"Afrikaans, English, Finnish, French, German",44,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,20,Male,White,United States,United States,United States,English,No,Part-Time
English,25,Male,White,United States,United States,United States,English,No,Part-Time
English,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
English,39,Male,White,United States,United States,United States,English,No,Full-Time
"Arabic, Dutch, English, Hebrew, German",22,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
"Hindi, English",26,Male,Asian,India,India,India,English,DATA_EXPIRED,DATA_EXPIRED
English,37,Male,White,United States,United States,United States,English,No,Full-Time
