Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-09-09T14:42:21.821000Z,2024-09-09T14:47:10.499000Z,2024-09-11T14:30:08.019000Z,2024-09-09T14:47:11.524538Z,289,C10OZW7Z,6,English,26,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:38:21.435000Z,2024-09-09T14:47:08.390000Z,2024-09-11T14:32:01.702000Z,2024-09-09T14:47:09.680716Z,527,C10OZW7Z,3,English,28,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-09T14:45:12.858000Z,2024-09-09T14:56:08.913000Z,2024-09-11T14:32:00.743000Z,2024-09-09T14:57:20.259492Z,657,C10OZW7Z,17,English,55,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-09T14:39:26.584000Z,2024-09-09T14:46:17.436000Z,2024-09-11T14:30:03.182000Z,2024-09-09T14:46:18.061403Z,411,C10OZW7Z,8,English,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2024-09-09T14:38:16.205000Z,2024-09-09T14:45:47.598000Z,2024-09-11T14:29:25.167000Z,2024-09-09T14:45:48.821635Z,452,C10OZW7Z,0,English,55,Female,White,South Africa,South Africa,South Africa,English,No,Part-Time
APPROVED,Not Applicable,2024-09-09T14:41:02.916000Z,2024-09-09T14:46:00.764000Z,2024-09-11T14:32:08.111000Z,2024-09-09T14:46:01.418523Z,298,C10OZW7Z,3,English,19,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-09-09T14:37:03.521000Z,2024-09-09T14:45:12.372000Z,2024-09-11T14:29:20.209000Z,2024-09-09T14:45:25.162141Z,489,C10OZW7Z,0,English,29,Female,White,Australia,Germany,Australia,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-09T14:46:20.201000Z,2024-09-09T14:47:03.346000Z,2024-09-11T14:32:38.256000Z,2024-09-09T14:47:05.358137Z,44,C10OZW7Z,6,"English, Greek",32,Male,White,Greece,Greece,Greece,Greek,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:36:29.119000Z,2024-09-09T14:38:01.679000Z,2024-09-11T14:31:44.842000Z,2024-09-09T14:40:41.725447Z,93,C10OZW7Z,1,English,25,Male,White,United Kingdom,United Kingdom,United Kingdom,French,No,Full-Time
APPROVED,Not Applicable,2024-09-09T14:35:53.558000Z,2024-09-09T14:40:20.615000Z,2024-09-11T14:31:45.652000Z,2024-09-09T14:41:18.415461Z,268,C10OZW7Z,0,"Spanish, Italian, English",24,Male,White,"Venezuela, Bolivarian Republic of",Italy,Italy,Spanish,No,Other
APPROVED,Not Applicable,2024-09-09T14:34:47.378000Z,2024-09-09T14:40:43.223000Z,2024-09-11T14:31:40.557000Z,2024-09-09T14:41:20.091505Z,356,C10OZW7Z,0,"English, Other",25,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-09-09T14:40:23.392000Z,2024-09-09T14:42:50.945000Z,2024-09-11T14:32:14.148000Z,2024-09-09T14:43:44.497548Z,148,C10OZW7Z,7,English,22,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
