Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-10-11T14:42:15.812000Z,2024-10-11T14:46:14.761000Z,2024-10-26T15:27:44.744000Z,2024-10-11T14:46:44.457039Z,239,C12H3JNE,698,"Polish, English",30,Female,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-10-11T14:42:21.562000Z,2024-10-11T14:44:05.411000Z,2024-10-26T15:27:45.590000Z,2024-10-11T14:45:10.912051Z,104,C12H3JNE,503,"Welsh, English",40,Female,White,United Kingdom,United Kingdom,United Kingdom,Welsh,Yes,Full-Time
APPROVED,Not Applicable,2024-10-11T14:42:28.737000Z,2024-10-11T14:43:14.464000Z,2024-10-26T15:27:45.935000Z,2024-10-11T14:43:15.292436Z,46,C12H3JNE,254,English,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
APPROVED,Not Applicable,2024-10-11T14:42:31.963000Z,2024-10-11T14:46:20.175000Z,2024-10-26T15:27:46.341000Z,2024-10-11T14:46:46.358901Z,229,C12H3JNE,137,English,24,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-10-11T14:42:35.554000Z,2024-10-11T14:47:14.394000Z,2024-10-26T15:27:46.769000Z,2024-10-11T14:47:15.226618Z,279,C12H3JNE,5,English,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-10-11T14:42:37.224000Z,2024-10-11T14:44:27.298000Z,2024-10-26T15:27:47.135000Z,2024-10-11T14:45:56.706490Z,111,C12H3JNE,199,English,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
APPROVED,Not Applicable,2024-10-11T14:42:44.960000Z,2024-10-11T14:47:20.478000Z,2024-10-26T15:26:32.491000Z,2024-10-11T14:47:21.000622Z,276,C12H3JNE,13,"English, Other",26,Male,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-10-11T14:42:49.259000Z,2024-10-11T14:47:49.381000Z,2024-10-26T15:26:32.776000Z,2024-10-11T14:47:49.975645Z,301,C12H3JNE,5,English,38,Male,Other,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-10-11T14:43:32.782000Z,2024-10-11T14:45:47.221000Z,2024-10-26T15:27:47.501000Z,2024-10-11T14:46:38.478923Z,135,C12H3JNE,493,English,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-10-11T14:42:38.245000Z,2024-10-11T14:44:46.962000Z,2024-10-26T15:26:33.059000Z,2024-10-11T14:46:17.186178Z,129,C12H3JNE,20,English,26,Male,Black,Nigeria,Austria,Nigeria,English,Yes,Full-Time
APPROVED,Not Applicable,2024-10-11T14:42:47.283000Z,2024-10-11T14:45:55.772000Z,2024-10-26T15:27:47.914000Z,2024-10-11T14:46:39.844746Z,189,C12H3JNE,125,"English, Other",19,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
APPROVED,Not Applicable,2024-10-11T14:42:38.455000Z,2024-10-11T14:44:58.619000Z,2024-10-26T15:27:48.298000Z,2024-10-11T14:46:23.339981Z,141,C12H3JNE,6,"English, French",41,Female,Black,United States,France,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2024-10-11T14:42:40.197000Z,2024-10-11T14:44:28.509000Z,2024-10-26T15:26:33.327000Z,2024-10-11T14:45:58.495281Z,109,C12H3JNE,759,English,31,Male,White,Canada,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2024-10-11T14:42:46.069000Z,2024-10-11T14:49:06.829000Z,2024-10-26T15:27:48.835000Z,2024-10-11T14:49:07.652003Z,381,C12H3JNE,19,English,24,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-10-11T14:42:42.533000Z,2024-10-11T14:46:32.890000Z,2024-10-26T15:26:33.602000Z,2024-10-11T14:46:51.568355Z,231,C12H3JNE,56,"French, English",23,Male,Asian,China,Canada,China,Chinese,No,Full-Time
